Inf_UN Sus_UN F_GT G_GT
1.2802 0.0503 13.5422 2.4333
3.1569 0.0496 6.2798 2.2592
2.0602 0.0953 0.7716 2.6460
0.0000 0.1318 0.0000 1.5322
4.0449 0.0368 4.2599 1.1143
0.0000 0.1246 0.0000 0.9498
3.1903 0.0518 5.7888 2.4628
1.5195 0.0597 2.4479 1.7033
5.0029 0.0195 2.6882 0.3652
2.6270 0.0561 6.1526 1.5168
2.2518 0.0355 16.4515 1.8204
3.9553 0.0735 6.2589 3.0300
1.3252 0.1325 3.1932 1.4947
4.8256 0.1324 3.3217 3.1992
2.7890 0.0815 8.8487 5.3859
3.6924 0.0450 3.5704 1.2924
2.2552 0.0493 7.9767 0.9477
0.0000 0.0136 0.0000 0.2525
1.6722 0.1118 3.5167 5.7786
2.4256 0.0408 5.8045 0.7007
0.9660 0.1122 0.5571 1.4695
1.9848 0.0737 5.8163 1.9106
2.5938 0.0878 12.6578 6.0060
2.9512 0.1214 2.9170 2.2268
1.6204 0.0998 4.4280 1.6222
1.3816 0.0413 8.9422 0.9515
1.5693 0.0790 4.2588 1.6119
2.4700 0.1191 4.3142 3.5747
1.4727 0.1196 12.3710 6.8084
1.9075 0.0851 16.3301 4.7533
1.9728 0.0513 5.2459 1.1597
1.8703 0.0819 11.7756 3.8743
4.0928 0.1359 1.4834 1.7830
3.1163 0.0231 0.7160 0.2052
2.7977 0.0467 15.0880 2.1468
4.7516 0.0704 3.6435 1.1561
1.9781 0.0569 7.7793 1.7930
1.8321 0.0464 12.6309 1.6925
0.9017 0.0288 2.6773 0.2390
2.0992 0.0485 6.4439 1.2936
2.2700 0.0852 8.8512 3.8009
2.0549 0.1238 6.2131 4.1047
1.1993 0.1311 1.9387 2.8429
1.7207 0.0667 4.9321 1.1710
1.4820 0.1452 3.9349 5.2319
3.6811 0.0466 0.4939 0.2807
2.0182 0.1164 9.5664 4.4923
0.7494 0.0335 4.2115 0.7125
3.2094 0.0523 0.7685 0.7058
1.0007 0.1411 3.8605 3.4787
1.2015 0.0464 1.7891 0.5050
1.7951 0.1248 3.6655 3.9143
1.0993 0.0047 5.2556 0.0641
0.6772 0.1039 0.6708 0.9773
1.0125 0.0137 1.6297 0.1172
1.5485 0.0865 1.7418 2.1503
1.7841 0.0593 4.1499 1.3188
1.3395 0.1056 1.9361 2.2479
4.2888 0.0651 2.7343 0.9706
4.4971 0.0699 5.4567 1.9415
2.3841 0.0698 2.1324 1.5700
1.0567 0.0956 0.7800 2.6856
0.9039 0.0761 1.5490 3.2933
0.0000 0.1116 0.0000 2.7156
0.9988 0.1354 0.4576 2.2842
1.4447 0.0456 1.1892 0.3435
1.5080 0.1034 0.8043 1.8606
0.0000 0.0783 0.0000 0.8171
0.0000 0.1356 0.0000 2.8644
0.0000 0.0559 0.0000 0.3440
2.0829 0.1051 5.2060 4.0692
0.9171 0.0945 0.5725 0.7712
2.3900 0.1018 0.9924 2.0360
3.9733 0.1246 1.6148 2.3322
0.0000 0.1474 0.0000 1.3283
1.3680 0.1683 1.6956 3.9852
1.4085 0.1087 5.6484 6.8874
1.2333 0.0902 10.6188 4.3382
2.7170 0.0189 3.0208 0.3681
1.7571 0.1253 9.1023 5.9989
1.7465 0.0823 6.6381 2.1153
2.9540 0.0759 3.0000 1.2852
1.2177 0.0492 7.0944 0.6297
0.6925 0.1390 2.9303 3.4942
1.5921 0.1931 2.0560 3.0452
1.5261 0.1128 2.5282 3.3012
1.5922 0.1088 4.0737 1.5212
1.9487 0.0545 9.1412 1.4166
1.8900 0.1497 6.5724 5.6840
1.3765 0.0485 2.8198 0.3960
2.1646 0.1056 18.2182 6.8077
1.5649 0.0847 3.5825 1.9114
1.8363 0.1313 12.1336 4.8705
1.2463 0.0900 6.6363 1.3724
1.5198 0.1148 8.7171 3.3095
1.6458 0.1351 6.0383 7.0488
1.9982 0.1129 4.4011 2.9391
1.6309 0.1282 4.4952 3.2889
2.0544 0.1236 13.2972 6.6158
1.5381 0.0785 8.7121 3.3682
1.7993 0.1583 6.9870 7.7830
2.0190 0.1085 5.5116 2.5455
1.9562 0.0539 4.9407 0.8142
1.1715 0.0625 1.0958 0.6897
1.6618 0.1079 7.4541 4.3576
2.1196 0.1086 6.6290 1.8752
1.5540 0.1684 8.3699 5.7153
0.9512 0.1400 5.4250 4.3132
1.3526 0.1491 5.5608 5.3821
1.5375 0.1298 8.8143 4.1919
0.7942 0.1625 4.4742 3.7893
2.2195 0.1443 5.4286 3.2257
1.4192 0.1635 6.7287 5.5775
0.7532 0.2562 5.8747 8.5573
0.6540 0.0893 1.1028 1.0121
1.1503 0.1952 3.9879 2.6498
0.4755 0.1893 2.4517 3.8161
1.0311 0.0808 1.2924 1.2298
0.8868 0.1077 1.6469 1.6172
0.0990 0.0967 0.0737 1.1423
1.1112 0.0482 0.3969 0.5805
1.5438 0.1367 4.2735 5.4701
2.1201 0.0852 4.1250 2.6354
1.7373 0.1144 0.7379 0.9341
1.6007 0.1254 3.5703 3.8309
2.0202 0.1851 3.0270 4.3565
0.0000 0.1831 0.0000 1.7771
1.3318 0.1513 12.8350 10.4867
0.3166 0.2055 0.3481 3.0043
1.9038 0.1059 5.7285 2.3359
0.0000 0.0312 0.0000 0.2353
1.4361 0.1376 11.7190 4.4539
1.1016 0.1360 5.0093 4.0293
0.9371 0.1525 4.1700 5.3683
1.5345 0.1406 4.3312 4.5661
1.4548 0.1134 8.0212 5.6899
1.3357 0.1025 1.3437 0.6784
0.9686 0.2371 5.8418 8.2263
1.7122 0.1760 1.9369 2.5070
3.4394 0.0630 2.7990 1.7583
1.3425 0.0992 1.8719 3.1135
0.0000 0.1170 0.0000 1.0808
1.4109 0.1364 5.9059 2.6228
0.1561 0.0706 0.0323 0.3851
1.5834 0.0721 3.0307 1.6294
2.4229 0.1762 4.3058 4.4252
2.0988 0.1347 2.8423 1.9797
0.0000 0.1734 0.0000 0.8566
2.0220 0.1444 5.4840 3.4151
1.5939 0.1487 6.1736 4.0349
1.1118 0.0995 5.2148 1.4332
1.6886 0.1058 4.4010 1.4716
0.7813 0.1049 0.5844 1.2302
1.8206 0.2407 4.3007 8.2905
0.9377 0.1446 2.8743 2.1053
0.0000 0.0367 0.0000 0.1813
3.1939 0.0736 1.5276 0.8113
0.8829 0.2869 1.8628 6.9743
0.7567 0.0261 2.2092 0.2017
1.8306 0.0861 2.0751 1.5464
2.3121 0.0356 1.3516 0.3345
1.1546 0.1672 3.9760 4.8222
1.4400 0.0820 9.0335 2.3724
0.7183 0.1887 3.6729 8.4209
0.9715 0.1367 3.8811 2.4386
1.1040 0.1397 6.3439 4.4624
0.0000 0.1236 0.0000 1.1003
1.9628 0.1380 1.9932 0.9674
1.0857 0.2266 5.1555 8.6726
2.0627 0.1043 3.1928 2.2043
1.2743 0.1420 5.9072 1.8217
0.5023 0.1716 0.8178 1.9950
0.4755 0.0973 3.3630 0.9472
1.3341 0.1206 4.3436 1.4274
1.5940 0.1157 3.0537 2.6207
2.9965 0.1554 0.6872 0.9596
1.3329 0.1439 3.2292 5.9288
0.8056 0.1539 0.3803 0.9620
1.0362 0.2024 4.5496 4.3438
1.5032 0.1313 2.9115 1.3236
0.8445 0.3196 0.4566 3.6322
1.1817 0.1165 8.3065 3.3550
0.0000 0.2467 0.0000 1.5975
0.4910 0.1787 2.2469 4.8536
1.2663 0.1220 4.3127 1.1305
1.3070 0.1453 3.2978 2.8589
0.0000 0.1446 0.0000 0.7822
0.8045 0.1756 1.6021 4.7629
0.0000 0.1313 0.0000 0.5253
1.6292 0.1655 1.6799 0.9279
1.1237 0.0901 1.1187 0.9071
0.8704 0.1910 2.8117 3.3090
1.3110 0.0893 3.7040 0.8303
1.0843 0.0483 14.4123 1.2951
1.0868 0.1910 2.7822 3.0844
1.1741 0.1103 2.4183 1.2219
0.7807 0.1492 0.5130 1.1269
1.2353 0.1142 10.7417 2.9492
1.8968 0.1014 1.3221 0.6189
1.4469 0.1295 4.7264 2.6883
0.5163 0.1918 2.1617 2.9246
1.3394 0.1225 2.2445 1.8671
1.3936 0.1166 6.9878 2.4748
1.0330 0.1526 0.4678 0.9315
0.9330 0.0740 1.6129 0.3312
1.0776 0.2221 1.7919 1.9990
0.8353 0.2305 4.0813 2.3926
1.1726 0.2051 6.5135 4.1761
1.0192 0.1653 4.7281 4.6032
0.7472 0.1006 1.9437 0.6804
1.3079 0.2244 7.9171 7.4076
0.6897 0.1615 1.2317 3.1193
0.0000 0.1485 0.0000 0.4863
0.1428 0.2138 0.0476 0.7001
1.9960 0.0190 3.3666 0.1373
1.7513 0.2234 6.9133 5.7872
1.1968 0.1664 5.1817 4.6834
0.7290 0.2529 1.1167 3.5281
0.9791 0.2109 1.4399 3.5270
0.3730 0.1969 0.6402 3.3184
0.6146 0.2494 1.4875 1.5972
0.6003 0.2122 2.6699 7.7817
0.8787 0.3138 0.8663 4.5233
1.4325 0.1712 6.3467 4.8812
0.9441 0.2566 2.6091 3.9877
1.5659 0.2262 7.2207 6.3718
0.9310 0.1542 8.5951 8.4733
1.0541 0.1780 13.5986 12.4380
0.9504 0.0613 3.9282 1.0811
0.7870 0.1763 2.4580 5.6727
0.6170 0.2677 1.3188 5.0629
1.4981 0.1647 4.6287 2.0041
1.3099 0.1546 3.5854 2.9919
1.1608 0.2087 8.6820 4.7737
1.1853 0.2695 4.4386 5.3482
1.1496 0.1386 14.1004 3.4495
0.3434 0.1843 0.2192 0.7950
0.7599 0.1303 0.7622 0.9884
0.6283 0.1602 3.5761 2.6150
3.1547 0.1036 0.9102 0.4384
1.0184 0.2346 2.1584 3.1826
0.5804 0.0507 5.1273 0.2968
0.7173 0.3085 0.9457 2.9048
0.9846 0.1700 1.3460 2.2818
0.9812 0.2434 1.5935 1.9296
1.1188 0.1259 4.8591 2.6967
1.1577 0.0890 8.1100 0.9277
1.0321 0.1236 3.5902 1.9831
1.0625 0.1843 6.7184 12.3636
0.8096 0.1703 8.8638 7.7307
0.8382 0.1738 11.1052 4.0486
0.3500 0.2226 0.8074 1.7033
1.0916 0.1553 6.1239 3.0343
1.4106 0.0427 2.1886 0.2770
1.7813 0.1021 1.0727 1.0213
0.6484 0.2035 1.5159 6.1475
0.8174 0.2850 2.3039 6.3722
0.3700 0.3674 0.9893 6.1147
0.6098 0.3298 0.7967 5.7667
0.5346 0.1574 1.4343 1.6412
0.0000 0.3451 0.0000 2.4989
0.8924 0.3047 7.6233 8.9005
0.7302 0.2517 4.6169 7.4405
1.0457 0.1570 2.3121 2.4832
0.8635 0.0927 1.4917 0.7886
0.3248 0.2974 0.6730 6.8719
0.8253 0.3142 2.1121 5.9893
1.0045 0.1968 1.4605 4.2223
0.0000 0.1630 0.0000 0.7011
0.0946 0.2978 0.1096 2.3782
1.4633 0.1734 9.7013 4.6069
0.9814 0.1814 3.4211 2.3533
0.8977 0.2108 8.0525 9.2207
0.7160 0.0907 1.1405 0.6041
1.4268 0.1996 3.9860 1.6318
0.8955 0.1684 6.2222 3.4085
0.9744 0.2704 6.0516 3.4696
0.9779 0.2914 3.3793 3.6841
0.7247 0.3349 5.6776 6.1325
0.7606 0.4042 3.7699 4.5918
0.6689 0.4704 1.9794 6.1644
0.3722 0.2981 1.3343 3.9146
0.7761 0.1730 2.8488 1.4260
0.9794 0.2083 12.6139 3.5292
0.6983 0.2514 4.1232 8.3223
0.7209 0.5003 2.9374 3.5400
0.4779 0.3428 2.4481 5.3927
0.3474 0.4068 4.1957 8.0782
0.0000 0.2455 0.0000 1.0404
1.1423 0.1763 3.5929 1.2229
0.7481 0.1659 9.4942 5.2719
0.8930 0.2241 1.2015 1.9589
0.6094 0.1905 2.2718 1.5478
0.4745 0.3203 1.6961 6.2060
0.4686 0.1591 0.8167 3.0339
0.5314 0.3201 4.0149 8.0573
0.4138 0.1910 2.3901 1.2803
1.0541 0.1084 2.0775 0.7269
0.7607 0.2141 2.4843 5.0478
1.4351 0.2514 0.7797 2.6847
2.2495 0.1467 1.6288 0.6446
0.8622 0.1443 3.9078 1.5706
1.2610 0.2222 4.7841 1.6149
0.7719 0.3004 4.3630 3.5767
0.9191 0.3394 6.5416 5.4084
0.6740 0.2471 1.4917 1.7883
1.1609 0.0736 5.0412 0.5436
0.3670 0.3370 1.9069 6.4853
0.7463 0.3484 1.4753 5.0325
0.8310 0.3053 5.7515 6.5417
0.3380 0.1630 0.7995 1.7957
0.5887 0.0919 1.5091 0.6666
0.1185 0.2623 0.8238 2.8546
1.1623 0.0058 3.0937 0.0324
0.3377 0.1585 1.0217 3.8005
0.9615 0.2338 0.9359 1.2779
1.2416 0.0920 3.9865 0.6653
0.3299 0.1979 0.4508 1.6047
0.0000 0.1778 0.0000 0.4616
1.0383 0.3810 3.4234 4.1217
0.0000 0.2198 0.0000 4.4887
1.1625 0.1358 7.3149 1.8305
0.0000 0.3470 0.0000 2.4065
0.8958 0.2653 9.4904 9.0740
0.9150 0.1559 2.2211 2.9123
0.4662 0.3274 2.4047 3.9150
0.5006 0.1345 2.6916 1.1656
0.1427 0.3704 0.4684 3.3114
0.5994 0.3694 9.0166 7.3071
0.9680 0.2726 0.9501 2.8594
0.0000 0.4787 0.0000 1.6519
0.3598 0.2057 0.3823 2.8250
0.6228 0.3505 1.7686 4.9415
0.2722 0.2873 1.0147 8.3846
1.2589 0.2929 0.8277 1.1146
0.5141 0.3469 2.4794 3.4113
0.0000 0.3888 0.0000 2.0292
0.8423 0.2836 3.9287 4.1289
0.0000 0.2885 0.0000 5.4593
1.5839 0.2933 4.4962 2.4634
0.6191 0.3292 2.5680 11.2130
1.0542 0.2234 4.5449 2.4013
0.0000 0.2633 0.0000 1.2663
1.3552 0.0645 0.5545 0.1537
1.9529 0.2613 1.0357 0.6820
0.6539 0.2676 3.8029 2.4079
0.7419 0.2580 7.4719 5.7244
1.1933 0.1721 1.5506 0.7907
0.8556 0.3239 8.9253 9.2265
0.8527 0.3428 2.1260 3.0433
0.6310 0.3619 1.6420 3.2853
0.2432 0.2785 0.4887 4.5560
0.5887 0.2227 4.6518 3.3943
0.6213 0.1555 5.1419 1.1078
0.6520 0.2221 9.8645 4.2170
0.1648 0.4301 0.1597 1.5348
0.6423 0.0943 1.9437 0.5002
0.0000 0.1024 0.0000 0.2404
0.7821 0.2871 5.1189 2.7649
1.3930 0.1097 1.0327 0.5265
0.9764 0.2609 4.0743 5.3888
0.7158 0.1615 5.1054 2.9846
0.6647 0.3415 6.4786 9.9586
0.0000 0.2117 0.0000 1.0607
0.6292 0.2717 2.1761 5.7198
0.7583 0.1755 2.7955 0.9666
0.1206 0.2839 0.2382 4.7692
0.0000 0.2139 0.0000 1.4532
0.0000 0.1866 0.0000 1.3446
0.7723 0.2249 3.4868 2.7706
1.0806 0.1674 3.1179 2.1936
0.6812 0.2495 3.7420 2.1528
1.5730 0.1570 0.5837 0.4853
0.6829 0.0946 2.8070 0.5880
0.5892 0.3034 2.9124 2.3185
0.5371 0.1823 3.8224 2.2165
0.4731 0.1988 1.6375 1.1396
0.7066 0.2130 10.0620 3.2367
0.6152 0.3537 4.6128 4.1221
0.9422 0.3069 2.4471 6.3207
0.5189 0.4068 3.8198 3.3682
0.3784 0.3627 2.4757 2.9468
0.0000 0.0162 0.0000 0.0464
0.9356 0.3708 5.1232 5.0983
1.6487 0.2542 0.8243 1.5488
0.4179 0.2657 1.5672 2.1956
0.0000 0.1963 0.0000 1.6373
0.0000 0.0705 0.0000 0.2019
0.0000 0.2401 0.0000 0.6877
0.4250 0.2812 2.4642 4.6069
0.4893 0.1203 0.4610 0.3626
0.3538 0.1506 0.7921 0.7692
1.0341 0.2109 2.9727 0.8935
0.2888 0.4186 1.3251 3.0393
0.9403 0.3303 4.2518 5.0173
0.7766 0.3077 3.5245 6.0717
0.0000 0.3206 0.0000 0.7322
0.3583 0.3286 0.8940 5.9786
0.6205 0.3238 7.3921 8.3688
0.6222 0.3170 1.2983 4.4805
0.8727 0.3350 1.1711 2.9939
0.5692 0.3478 3.3675 4.0406
0.3932 0.3912 1.4701 4.0079
0.5932 0.3080 2.4006 2.3124
0.0000 0.2993 0.0000 3.9609
0.0000 0.2376 0.0000 2.0661
0.6004 0.2482 4.3605 2.4788
0.4746 0.3286 2.0566 3.1798
0.0585 0.1729 0.2446 0.4911
0.3569 0.3852 0.5827 2.5401
0.0000 0.4275 0.0000 0.7755
0.0000 0.5630 0.0000 4.3907
0.9505 0.1755 2.6062 2.7944
0.0000 0.0709 0.0000 0.1286
0.0000 0.3720 0.0000 3.2096
1.0953 0.3455 3.5883 2.0474
0.7940 0.3000 0.9119 0.8935
0.8814 0.4778 4.6352 3.4574
0.6284 0.2716 0.3289 1.1261
0.0000 0.3735 0.0000 0.9874
0.0000 0.1898 0.0000 0.3362
0.5952 0.1826 2.2383 0.7644
0.7526 0.3202 1.7371 2.1841
0.4459 0.4453 0.8205 1.8086
0.5481 0.0426 0.6207 0.1339
0.7100 0.2034 0.4410 0.6295
0.5813 0.2955 3.7138 9.3549
1.1374 0.2330 1.5289 1.2112
0.0000 0.1352 0.0000 0.6259
0.0491 0.4357 0.9936 1.1920
0.0000 0.3775 0.0000 1.2407
0.0000 0.3204 0.0000 0.9117
0.2835 0.4554 1.2342 3.2125
0.0000 0.6339 0.0000 2.3376
0.0000 0.3645 0.0000 2.4541
0.0828 0.2879 0.1571 1.8752
0.6473 0.3042 4.3519 3.4134
0.4903 0.4174 3.1265 6.7717
0.0000 0.0307 0.0000 0.0815
0.7174 0.2891 2.2287 5.8773
0.2360 0.7444 0.9150 2.7244
0.0000 0.4074 0.0000 1.9211
0.0000 0.7205 0.0000 2.5356
0.6780 0.5103 4.5189 7.6510
0.0000 0.0075 0.0000 0.0173
0.3248 0.3044 0.5467 2.0984
0.5816 0.4143 6.7728 6.7736
0.4580 0.2768 2.6021 1.7627
0.4250 0.3701 3.7292 6.7907
0.6494 0.3896 3.7361 3.7598
0.8746 0.1178 0.4991 0.4998
0.9540 0.1795 1.4063 0.9620
0.6003 0.5555 2.9585 3.6155
1.0520 0.2915 0.8756 1.9138
0.0583 0.1842 0.6723 0.6341
0.2419 0.3685 2.4642 0.9840
0.7297 0.1672 3.4133 1.8070
0.0000 0.1343 0.0000 2.3698
0.5381 0.3385 8.4479 8.0584
0.1178 0.3079 0.4696 3.5567
0.8273 0.3717 1.0715 2.1079
0.0000 0.2235 0.0000 2.4484
0.6259 0.4197 4.0138 9.2336
0.0241 0.1447 0.0359 3.9259
0.0000 0.4317 0.0000 1.6089
0.4233 0.1945 2.9727 1.9487
0.9306 0.0914 2.3627 0.7358
0.2990 0.3489 1.5017 12.6435
0.0000 0.5084 0.0000 3.1439
0.0000 0.0874 0.0000 0.3547
0.0000 0.1563 0.0000 1.0108
0.0000 0.1510 0.0000 0.9161
0.4669 0.3492 7.7650 11.0763
0.2022 0.1633 0.0703 1.0607
0.0000 0.2988 0.0000 1.3384
0.2171 0.1692 0.3061 0.9883
1.3555 0.2711 0.9368 1.2910
0.0000 0.1719 0.0000 0.4699
0.6049 0.5039 2.3364 8.3380
0.5259 0.3253 3.2333 6.8889
0.3700 0.2575 0.8323 2.9856
1.4859 0.4794 1.6083 1.7101
0.6594 0.4026 7.5874 8.8170
0.7007 0.0930 0.3745 0.5453
0.4778 0.3738 4.8606 5.6445
0.3268 0.3147 2.3187 6.1421
0.9946 0.3116 4.5538 3.9493
0.2863 0.3023 1.3535 2.2203
0.5095 0.3054 1.7875 7.0053
0.2521 0.3077 0.3680 1.7407
0.4478 0.2855 0.7301 2.8619
0.4964 0.1014 0.2186 0.5271
0.7254 0.3488 6.2759 5.5870
0.4928 0.3858 1.5849 5.1361
0.3459 0.0684 0.9042 0.4853
0.3717 0.4578 0.6930 3.1882
0.5367 0.3640 0.8802 3.3158
0.3208 0.4946 1.2730 5.6633
0.6095 0.5548 0.8713 3.0063
0.0000 0.8033 0.0000 1.6790
0.4791 0.2987 0.6136 1.9729
0.0822 0.5808 0.2714 4.6515
0.5779 0.2303 1.2714 1.0256
0.5131 0.5238 0.6706 1.4952
0.5411 0.0961 2.6281 0.5765
0.5305 0.3362 1.3737 2.3391
0.3259 0.3488 3.5979 5.1671
0.1933 0.0792 0.3821 0.3819
0.5829 0.3042 1.3737 2.6637
0.0000 0.1687 0.0000 0.5112
0.0000 0.0897 0.0000 0.2313
0.0133 0.3853 0.1277 2.3720
0.0000 0.0333 0.0000 0.0859
0.0000 0.1883 0.0000 0.4853
0.0000 0.1110 0.0000 0.4622
0.0941 0.5215 0.2010 1.9341
0.6760 0.3569 1.7947 1.7160
0.0000 0.8315 0.0000 3.8943
0.2394 0.6656 0.3777 2.8427
0.1893 0.4689 0.2502 1.9076
0.0000 0.5850 0.0000 1.1578
1.5650 0.0943 0.6027 0.3603
0.0000 0.5809 0.0000 0.6954
0.4044 0.2774 0.6451 2.4995
0.5079 0.3081 0.8197 1.2293
0.0000 0.4004 0.0000 1.4580
0.0000 0.6351 0.0000 4.5741
0.7007 0.4742 1.4274 4.9084
0.5221 0.3657 2.5019 2.1505
0.0000 0.2090 0.0000 0.3775
0.8182 0.3321 1.1691 1.3189
0.0000 0.0184 0.0000 0.0330
0.5364 0.4091 0.9480 3.4930
0.0000 0.4464 0.0000 1.5017
0.0000 0.1981 0.0000 1.4950
1.0918 0.3537 2.3704 3.5379
0.5381 0.3712 0.7321 4.9358
0.1043 0.2670 0.1576 2.5037
0.0000 0.0364 0.0000 0.0909
0.0000 0.1847 0.0000 0.9630
0.0000 0.2574 0.0000 1.6399
0.7074 0.1669 1.8196 1.5603
0.8815 0.2425 1.5039 2.8676
0.5542 0.2328 1.4235 3.5170
0.5391 0.4037 1.4063 3.5552
0.0452 0.1478 0.8392 0.4220
0.0000 0.4647 0.0000 1.3264
0.3311 0.4935 0.4095 0.7368
0.5036 0.4802 2.9712 5.4624
0.0000 0.4179 0.0000 0.8110
0.3106 0.8059 1.1629 4.5097
0.5507 0.4827 2.2533 2.5410
0.2429 0.4197 1.9995 2.2366
0.3489 0.2584 0.8131 1.8595
0.3523 0.6902 3.6273 10.6398
0.6399 0.5100 3.0618 3.2986
0.0462 0.4157 0.0992 4.8904
0.3740 0.5207 1.5689 4.3454
0.0282 0.6857 0.6105 1.1202
0.4832 0.5120 0.4219 0.6907
0.0000 0.3890 0.0000 2.6325
0.0000 0.0885 0.0000 0.2793
0.3205 0.2599 0.6678 2.1584
0.0000 0.1264 0.0000 2.6123
0.0000 0.0686 0.0000 0.2190
0.4252 0.1632 0.9212 1.4448
0.0000 0.4206 0.0000 3.1610
0.0000 0.3816 0.0000 1.5495
0.0000 0.1758 0.0000 0.6178
0.3822 0.3764 0.9573 2.7582
0.0000 0.2316 0.0000 1.2415
0.0000 0.5828 0.0000 6.6034
0.0000 0.2793 0.0000 1.5217
0.0000 0.1672 0.0000 0.3766
0.0201 0.3414 0.2243 2.5764
0.0000 0.3903 0.0000 1.1191
0.0000 0.1393 0.0000 0.8258
0.0000 0.3619 0.0000 0.6264
0.0000 0.5171 0.0000 1.1852
0.0000 0.0015 0.0000 0.0041
0.0000 0.3352 0.0000 1.1765
0.3548 0.4305 3.0640 6.3801
0.3801 0.4334 0.6955 2.7471
0.4063 0.4089 0.5542 2.2892
0.0000 0.3915 0.0000 0.6551
0.2823 0.4818 1.1918 4.8325
0.2582 0.3388 0.5967 3.8014
0.0010 0.3170 0.0185 2.3148
0.0188 0.5237 0.9332 6.3050
0.1888 0.5158 0.6507 6.1485
0.0000 0.4049 0.0000 1.7739
0.8430 0.3656 1.3152 3.0711
