Inf_UN Inf_GT Sus_UN Sus_GT F_GT G_GT
0.5290 0.5385 0.2020 0.1986 7.3214 1.9491
0.2950 0.3002 0.2330 0.2290 2.1541 1.2729
0.5120 0.5210 0.0900 0.0885 3.5220 0.6115
0.3710 0.3776 0.7030 0.6911 6.7444 13.8779
0.4900 0.4987 0.6300 0.6194 10.9231 11.4691
0.6400 0.6515 0.7690 0.7564 3.4144 5.6268
0.3860 0.3928 0.8300 0.8158 5.1925 10.7302
0.5350 0.5442 0.3400 0.3340 0.9111 0.4134
0.9140 0.9291 0.3510 0.3446 1.0063 0.3145
0.5260 0.5353 0.5980 0.5879 8.5180 10.0602
0.1470 0.1496 0.4990 0.4905 0.6208 1.9970
0.6330 0.6441 0.9490 0.9328 6.2224 8.2402
0.9370 0.9535 0.1480 0.1455 14.0494 1.8383
0.8810 0.8967 0.4260 0.4189 4.1821 1.3104
0.7640 0.7774 0.5150 0.5063 7.0739 4.2070
0.0690 0.0702 0.3020 0.2969 0.8527 3.8161
0.4110 0.4183 0.5240 0.5152 3.4849 6.0679
0.5520 0.5617 0.2990 0.2939 3.9010 1.7145
0.7460 0.7590 0.2560 0.2516 4.3253 1.4461
0.6010 0.6116 0.7590 0.7461 5.3850 6.9980
0.2170 0.2205 0.7440 0.7309 0.1439 1.0185
0.0090 0.0092 0.9090 0.8937 0.1178 11.8343
0.3470 0.3531 0.6660 0.6546 1.5625 4.1865
0.9980 1.0150 0.6750 0.6632 1.6836 1.0321
0.3870 0.3938 0.9980 0.9809 3.0070 10.0718
0.6770 0.6886 0.6290 0.6182 1.5205 1.9342
0.7950 0.8089 0.2460 0.2418 4.4918 1.7250
0.8750 0.8906 0.6320 0.6213 5.1284 3.6839
0.9870 1.0032 0.2860 0.2810 0.9061 0.5005
0.5730 0.5827 0.5080 0.4997 0.7787 0.8164
0.5700 0.5799 0.2560 0.2516 2.7594 1.1809
0.4420 0.4498 0.3780 0.3715 3.0790 2.4672
0.3860 0.3929 0.1050 0.1034 1.8949 0.5025
0.3840 0.3908 0.5650 0.5552 1.4484 1.3176
0.0590 0.0600 0.8490 0.8344 0.3814 4.7162
0.1870 0.1903 0.5550 0.5455 0.9961 2.0352
0.7950 0.8089 0.3160 0.3105 3.5242 0.8662
0.3720 0.3786 0.8310 0.8167 2.8689 5.0284
0.4690 0.4772 0.1880 0.1847 1.3929 0.5298
0.5700 0.5799 0.8180 0.8038 1.1913 2.6675
0.2900 0.2949 0.1980 0.1944 0.3500 0.1930
0.0960 0.0977 0.7030 0.6907 0.2978 1.7976
0.1680 0.1709 0.2860 0.2807 0.2129 0.2188
0.1940 0.1973 0.2770 0.2720 0.4219 0.3648
0.0280 0.0285 0.4810 0.4715 0.0197 0.1833
0.5420 0.5515 0.5560 0.5465 5.2937 4.5625
0.4560 0.4637 0.6050 0.5938 0.7743 0.4767
0.3210 0.3266 0.8590 0.8437 1.1283 1.4560
0.3090 0.3143 0.9990 0.9817 0.6915 3.2507
0.5550 0.5644 0.2850 0.2795 0.9241 0.1263
0.0470 0.0478 0.7510 0.7381 0.1762 4.5616
0.0500 0.0509 0.5010 0.4926 0.7984 6.1032
0.0110 0.0112 0.4130 0.4060 0.1922 6.6035
0.0990 0.1007 0.1180 0.1160 0.4072 0.6818
0.6490 0.6605 0.7990 0.7855 10.5651 11.0150
0.6440 0.6555 0.8810 0.8661 4.7405 5.3856
0.3960 0.4029 0.4550 0.4473 1.3555 1.8241
0.4520 0.4600 0.5920 0.5818 2.8887 3.5899
0.5640 0.5738 0.1160 0.1141 2.7574 0.7814
0.6230 0.6340 0.9360 0.9199 2.5007 3.8750
0.0340 0.0346 0.1010 0.0993 0.1771 0.5441
0.1240 0.1262 0.4840 0.4758 0.5811 2.6315
0.9380 0.9545 0.0830 0.0816 9.5001 1.0512
0.7150 0.7276 0.2580 0.2536 6.9455 2.7645
0.4050 0.4120 0.0580 0.0570 1.2753 0.2425
0.9250 0.9414 0.8970 0.8818 22.7975 20.9961
0.9860 1.0035 0.8940 0.8787 7.9600 5.1995
0.4740 0.4824 0.4750 0.4669 7.4868 8.0698
0.3370 0.3430 0.2490 0.2449 2.6458 1.7988
0.6040 0.6147 0.7840 0.7707 7.4902 9.6816
0.5170 0.5261 0.3360 0.3303 8.4731 4.2719
0.3030 0.3083 0.6530 0.6419 2.3176 5.4650
0.6690 0.6808 0.8890 0.8739 5.3045 6.3270
0.3010 0.3063 0.1160 0.1141 5.4087 2.6003
0.9480 0.9647 0.6710 0.6596 14.9073 9.7154
0.9380 0.9545 0.2540 0.2497 13.2886 3.4656
0.3370 0.3429 0.0220 0.0216 2.6148 0.1643
0.1230 0.1252 0.5630 0.5534 0.8665 3.2603
0.2410 0.2452 0.1100 0.1081 0.8023 0.2707
0.5940 0.6045 0.9210 0.9053 7.7475 12.8802
0.3510 0.3572 0.1660 0.1632 2.7248 1.1213
0.5330 0.5424 0.7370 0.7245 7.0612 10.5538
0.1850 0.1883 0.0890 0.0875 2.1033 1.1241
0.1970 0.2005 0.6880 0.6763 2.1306 8.6007
0.2260 0.2300 0.6330 0.6222 2.6587 8.9177
0.8150 0.8293 0.3950 0.3883 7.7303 3.6877
0.7830 0.7967 0.1500 0.1474 4.5422 0.8730
0.5320 0.5414 0.8780 0.8631 5.2673 9.2778
0.9130 0.9293 0.5200 0.5113 14.2008 9.0818
0.0760 0.0773 0.6080 0.5975 0.2714 2.2636
0.0970 0.0987 0.5450 0.5357 0.4853 3.0433
0.2910 0.2963 0.6780 0.6665 1.9087 5.3447
0.9120 0.9280 0.5080 0.4995 2.6329 1.5621
0.0560 0.0570 0.0630 0.0619 0.2493 0.2041
0.4000 0.4069 0.9490 0.9322 0.7396 1.0857
0.4950 0.5031 0.7980 0.7835 0.4336 0.6935
0.4600 0.4681 0.5210 0.5122 3.8787 3.4532
0.5080 0.5169 0.9900 0.9731 2.4663 6.1142
0.5520 0.5610 0.8220 0.8049 0.5514 0.2219
0.4170 0.4244 0.0360 0.0354 2.9899 0.1934
0.1360 0.1384 0.5240 0.5149 0.6718 2.0897
0.9630 0.9791 0.0370 0.0362 1.1912 0.0067
0.4700 0.4784 0.8440 0.8297 10.0500 16.6741
0.9350 0.9509 0.6670 0.6554 2.1103 1.7322
0.9380 0.9543 0.1800 0.1769 5.1862 0.9682
0.8410 0.8551 0.9980 0.9798 1.0588 0.8104
0.0520 0.0529 0.9250 0.9094 0.7697 13.5512
0.7400 0.7531 0.0650 0.0639 6.5275 0.4735
0.6780 0.6899 0.7070 0.6949 7.3312 5.5733
0.1870 0.1903 0.0740 0.0728 1.5641 0.4158
0.9530 0.9698 0.3880 0.3814 11.6047 5.7009
0.0840 0.0855 0.3540 0.3479 0.1464 0.9165
0.1420 0.1446 0.7470 0.7345 1.8406 9.9097
0.0180 0.0184 0.8860 0.8707 0.0740 2.7005
0.5330 0.5423 0.5900 0.5799 2.4140 3.3984
0.7700 0.7834 0.0990 0.0973 3.1493 0.6243
0.1640 0.1665 0.6890 0.6766 0.0679 0.7179
0.0680 0.0692 0.1590 0.1563 0.3860 1.3340
0.4210 0.4278 0.1320 0.1296 0.3200 0.1406
0.3020 0.3073 0.4920 0.4836 1.2279 2.2327
0.6220 0.6329 0.7510 0.7382 4.4877 4.3017
0.1210 0.1231 0.4820 0.4737 0.3265 1.9208
0.0250 0.0253 0.1740 0.1708 0.0042 0.1296
0.4040 0.4111 0.9660 0.9495 2.8324 6.3572
0.8480 0.8628 0.5920 0.5820 8.0085 5.1705
0.8030 0.8174 0.2580 0.2537 5.8723 1.8630
0.2570 0.2615 0.0080 0.0080 1.1277 0.0546
0.5920 0.6021 0.0600 0.0590 1.1503 0.1687
0.3420 0.3480 0.6460 0.6350 3.4056 5.9128
0.0320 0.0327 0.8900 0.8748 0.1000 4.4687
0.9140 0.9242 0.4430 0.4349 0.1536 0.3300
0.0060 0.0061 0.0500 0.0491 0.0112 0.0680
0.9770 0.9942 0.0350 0.0344 5.6207 0.2252
0.8680 0.8829 0.1620 0.1592 2.2507 0.2675
0.2400 0.2441 0.1000 0.0983 0.7841 0.3161
0.7950 0.8081 0.8140 0.7993 1.0391 1.3040
0.5190 0.5283 0.6960 0.6842 6.0064 6.6677
0.5340 0.5434 0.3080 0.3028 5.8671 4.2396
0.9190 0.9352 0.4060 0.3991 12.0334 4.2999
0.0550 0.0563 0.3060 0.3013 0.3642 2.6530
0.1110 0.1130 0.3210 0.3155 1.1159 3.8173
0.2780 0.2825 0.1490 0.1462 0.1999 0.0834
0.8440 0.8587 0.8850 0.8700 1.7192 1.5532
0.1650 0.1679 0.7970 0.7834 2.2504 10.0263
0.6370 0.6482 0.8180 0.8039 4.1106 3.0356
0.9820 0.9993 0.8780 0.8632 6.8308 7.4384
0.1480 0.1508 0.2410 0.2372 0.5597 0.5206
0.2110 0.2147 0.4750 0.4669 1.1945 1.9755
0.9200 0.9362 0.8530 0.8383 4.7766 3.7344
0.3010 0.3062 0.4580 0.4501 1.2109 2.0143
0.0100 0.0102 0.4740 0.4654 0.0124 0.4043
0.7830 0.7968 0.7400 0.7273 8.4470 6.3744
0.2420 0.2461 0.9390 0.9215 0.4513 0.5812
0.4950 0.5037 0.4150 0.4079 3.8986 3.4889
0.5000 0.5088 0.2760 0.2712 2.2200 0.7121
0.9050 0.9206 0.4680 0.4597 2.7032 0.7628
0.1660 0.1691 0.8880 0.8734 1.6316 8.1874
0.5850 0.5941 0.7410 0.7278 0.3305 0.8633
0.5060 0.5149 0.6960 0.6841 5.2771 7.3887
0.2640 0.2686 0.1170 0.1151 1.1532 0.5959
0.0590 0.0600 0.5240 0.5151 0.3669 3.5952
0.5690 0.5778 0.5720 0.5570 0.3112 0.0652
0.5280 0.5372 0.2830 0.2782 2.6279 1.6179
0.7520 0.7478 0.4320 0.4179 0.0346 0.0276
0.7870 0.8002 0.9270 0.9102 1.4945 0.8936
0.7380 0.7507 0.6270 0.6156 2.1461 0.6082
0.3700 0.3766 0.4190 0.4118 1.8637 1.7213
0.4290 0.4365 0.9300 0.9139 1.1909 2.4459
0.2560 0.2605 0.5100 0.5013 4.3264 8.6374
0.4040 0.4111 0.8670 0.8521 2.1650 3.7801
0.7250 0.7376 0.4080 0.4008 2.4034 0.5614
0.6020 0.6122 0.1920 0.1886 1.0722 0.3335
0.2850 0.2900 0.2190 0.2153 4.3346 2.2489
0.7120 0.7242 0.6160 0.6058 1.3022 0.5723
0.0920 0.0936 0.8930 0.8778 0.8003 5.1294
0.3200 0.3257 0.5920 0.5819 2.4586 2.8907
0.8770 0.8925 0.3410 0.3354 4.4911 1.1935
0.0290 0.0295 0.9000 0.8847 0.2657 9.2052
0.9730 0.9897 0.0480 0.0472 1.9207 0.0823
0.5650 0.5749 0.8470 0.8323 1.7509 1.9583
0.3540 0.3603 0.9850 0.9681 1.7757 4.1252
0.6200 0.6311 0.2570 0.2527 5.0592 1.3464
0.6070 0.6178 0.1480 0.1455 6.5489 1.1300
0.5340 0.5434 0.0210 0.0206 6.3744 0.1871
0.0690 0.0702 0.1990 0.1956 0.3389 0.6927
0.3480 0.3542 0.7370 0.7246 4.8636 11.1235
0.7770 0.7906 0.7620 0.7489 4.3201 3.2065
0.3570 0.3628 0.0720 0.0705 0.2835 0.0213
0.7480 0.7606 0.3570 0.3502 0.9589 0.1656
0.9490 0.9652 0.0410 0.0403 2.5414 0.0674
0.2010 0.2045 0.1940 0.1908 1.6420 1.8455
0.4460 0.4539 0.4670 0.4592 4.4868 4.3478
0.1480 0.1506 0.2810 0.2762 0.6595 1.4415
0.2080 0.2116 0.2010 0.1976 0.8372 0.7911
0.4060 0.4131 0.3600 0.3538 1.6082 1.6798
0.3640 0.3705 0.2920 0.2874 0.8696 1.0103
0.5810 0.5912 0.6550 0.6438 6.1435 7.7441
0.8750 0.8901 0.8330 0.8187 2.5349 3.2170
0.2150 0.2188 0.8910 0.8759 2.6654 10.0068
0.1630 0.1658 0.7460 0.7333 0.9619 4.9363
0.2030 0.2066 0.9430 0.9270 2.3926 11.8422
0.1430 0.1455 0.7660 0.7530 2.8853 13.6095
0.9970 1.0146 0.4270 0.4198 29.2041 9.6344
0.6670 0.6790 0.1210 0.1190 5.2226 0.6925
0.4870 0.4956 0.7160 0.7038 5.0473 6.7683
0.1850 0.1883 0.9960 0.9790 1.2758 4.8216
0.8460 0.8609 0.9060 0.8909 4.9855 7.0188
0.1730 0.1760 0.6360 0.6251 1.2134 4.0831
0.8340 0.8488 0.7390 0.7265 9.9238 6.3635
0.6300 0.6411 0.7300 0.7177 5.3430 6.0269
0.7050 0.7175 0.8300 0.8160 11.0734 11.7719
0.7000 0.7115 0.5500 0.5401 0.8582 0.6369
0.0270 0.0275 0.7090 0.6966 0.0707 1.4946
0.8300 0.8447 0.1270 0.1249 7.1239 1.0122
0.5380 0.5467 0.2830 0.2772 0.5181 0.1596
0.1340 0.1364 0.1350 0.1327 0.8103 0.6553
0.3240 0.3298 0.6300 0.6193 2.2168 3.7346
0.6250 0.6359 0.0350 0.0344 1.6850 0.1024
0.1580 0.1608 0.4640 0.4562 0.7099 1.6027
0.3110 0.3176 0.5590 0.5500 0.9168 1.7681
0.7770 0.7906 0.9030 0.8875 5.5680 4.9629
0.3430 0.3491 0.3330 0.3273 1.9088 1.6803
0.6320 0.6431 0.0450 0.0442 2.9350 0.2153
0.7060 0.7184 0.1420 0.1396 12.5251 3.0086
0.5340 0.5435 0.4200 0.4130 10.5337 7.0447
0.6360 0.6473 0.0380 0.0374 11.8131 0.5273
0.5430 0.5525 0.2050 0.2015 2.9539 0.6581
0.9940 1.0116 0.6570 0.6460 9.6458 6.4603
0.7340 0.7467 0.9650 0.9481 2.0251 2.0776
0.4880 0.4964 0.4550 0.4471 1.2098 1.1502
0.7390 0.7521 0.1980 0.1946 6.3244 1.8927
0.4410 0.4488 0.2250 0.2212 4.0082 1.7147
0.5150 0.5240 0.2090 0.2054 3.0673 1.2333
0.0510 0.0519 0.9070 0.8915 0.2600 6.1313
0.9890 1.0062 0.3790 0.3726 3.8709 1.7260
0.0530 0.0539 0.2960 0.2905 0.1161 0.3570
0.0060 0.0062 0.0330 0.0325 0.1008 0.4985
0.5030 0.5119 0.1770 0.1740 5.1930 1.9828
0.4180 0.4253 0.2660 0.2615 1.7907 1.6798
0.2630 0.2676 0.7330 0.7203 0.6091 1.7365
0.0520 0.0529 0.5410 0.5318 0.3934 3.7702
0.4080 0.4152 0.1940 0.1907 2.6875 1.2620
0.6550 0.6665 0.0180 0.0177 3.6549 0.0761
0.3530 0.3577 0.5310 0.5202 0.0868 0.1577
0.5460 0.5554 0.7730 0.7594 1.3432 1.2360
0.6470 0.6588 0.0350 0.0345 9.2476 0.4236
0.5410 0.5510 0.9330 0.9173 2.7569 4.4010
0.4670 0.4753 0.4040 0.3972 9.5628 7.3451
0.6950 0.7065 0.2620 0.2574 0.6839 0.4792
0.3390 0.3449 0.5550 0.5455 2.1798 2.4614
0.0370 0.0377 0.7380 0.7254 0.5062 7.9018
0.5470 0.5567 0.7140 0.7018 5.7933 5.3229
0.6730 0.6848 0.9560 0.9397 5.2258 6.4148
0.1520 0.1547 0.8350 0.8208 1.9309 9.3771
0.0300 0.0305 0.7770 0.7637 0.2357 5.6154
0.9330 0.9494 0.3780 0.3715 7.8176 2.0140
0.9970 1.0145 0.9030 0.8876 7.6300 6.0564
0.5950 0.6054 0.6260 0.6153 2.7840 3.7823
0.8180 0.8324 0.8650 0.8503 12.2585 11.7095
0.3710 0.3775 0.0220 0.0216 4.5863 0.3203
0.6180 0.6290 0.3350 0.3293 4.0640 2.3902
0.8160 0.8304 0.3390 0.3332 5.2240 2.4150
0.3630 0.3694 0.0050 0.0049 5.6428 0.0477
0.0660 0.0671 0.1400 0.1375 0.0772 0.1854
0.9150 0.9312 0.1010 0.0993 4.9611 0.5603
0.4760 0.4844 0.3900 0.3834 8.5761 5.2541
0.6400 0.6511 0.2990 0.2938 1.9206 0.9720
0.5480 0.5576 0.5990 0.5887 2.5794 2.4864
0.6140 0.6247 0.3950 0.3882 3.5833 2.3898
0.4590 0.4670 0.9010 0.8856 2.2358 5.3844
0.7630 0.7765 0.8430 0.8286 7.6346 9.0943
0.3440 0.3500 0.2910 0.2861 0.8469 1.2333
0.0180 0.0183 0.8710 0.8558 0.0537 2.2872
0.2100 0.2137 0.4010 0.3942 1.8577 3.4562
0.5480 0.5574 0.5550 0.5453 1.1694 0.9657
0.4130 0.4193 0.5720 0.5620 0.2362 1.0754
0.2280 0.2321 0.3010 0.2961 1.4058 1.5444
0.4640 0.4721 0.0300 0.0295 1.3215 0.1613
0.5490 0.5586 0.2450 0.2408 3.9599 1.6133
0.0520 0.0529 0.9020 0.8867 0.4400 9.9103
0.0390 0.0397 0.6660 0.6546 0.1374 2.3796
0.0290 0.0295 0.6530 0.6418 0.1906 2.7302
0.9240 0.9402 0.8570 0.8424 10.0189 7.0591
0.2150 0.2187 0.4140 0.4069 0.9439 2.5300
0.3590 0.3653 0.1620 0.1593 3.6553 2.1906
0.0150 0.0153 0.4840 0.4757 0.0886 2.5696
0.5630 0.5729 0.8930 0.8775 2.2177 2.6638
0.8570 0.8722 0.1510 0.1484 7.1551 0.6282
0.6520 0.6633 0.2090 0.2053 2.4228 0.4280
0.2470 0.2513 0.5490 0.5397 2.4231 4.7944
0.5030 0.5114 0.2270 0.2230 0.5639 0.3841
0.2350 0.2391 0.9240 0.9081 1.1038 3.4465
0.8580 0.8729 0.1950 0.1916 2.9987 0.3857
0.7800 0.7923 0.5380 0.5192 0.4633 0.0296
0.6110 0.6217 0.7690 0.7559 3.1094 3.9411
0.9770 0.9941 0.5070 0.4982 4.9954 2.1421
0.4640 0.4723 0.5420 0.5330 3.8521 3.9745
0.0810 0.0822 0.6820 0.6699 0.0331 0.9262
0.6890 0.7011 0.1490 0.1465 8.9818 1.8641
0.4830 0.4915 0.1390 0.1366 3.2738 0.8922
0.1090 0.1109 0.2860 0.2812 0.7173 1.6737
0.7700 0.7836 0.4020 0.3952 5.1852 2.0518
0.7160 0.7286 0.0010 0.0010 4.6519 0.0045
0.1570 0.1598 0.2620 0.2576 3.0659 4.2612
0.2190 0.2228 0.1210 0.1189 0.5950 0.4314
0.1860 0.1891 0.3180 0.3125 0.2325 0.6751
0.1040 0.1058 0.4520 0.4442 0.3223 1.3732
0.3590 0.3652 0.4900 0.4816 1.5749 2.7499
0.0170 0.0174 0.0040 0.0040 0.1875 0.0429
0.1950 0.1983 0.8870 0.8716 0.1925 1.6942
0.8590 0.8741 0.9350 0.9189 5.3876 5.5100
0.3030 0.3079 0.4180 0.4106 0.2636 0.5300
0.6990 0.7114 0.2580 0.2536 4.4834 1.7781
0.1810 0.1842 0.5240 0.5150 1.1142 2.6902
0.7540 0.7673 0.3330 0.3273 4.7706 1.7582
0.6950 0.7073 0.4660 0.4581 8.6938 5.3478
0.0590 0.0600 0.1960 0.1927 0.4412 1.3685
0.6300 0.6407 0.4510 0.4430 1.0080 0.5782
0.1590 0.1615 0.0960 0.0943 0.0967 0.1056
0.0980 0.0996 0.5800 0.5693 0.1394 0.5667
0.7730 0.7867 0.9490 0.9326 5.0090 6.0252
0.8920 0.9078 0.5270 0.5181 10.4739 7.1003
0.5100 0.5188 0.6890 0.6768 1.5759 1.0969
0.0720 0.0733 0.3250 0.3197 0.9693 5.0200
0.4190 0.4264 0.0470 0.0462 2.2282 0.1929
0.9430 0.9593 0.0440 0.0432 3.2647 0.2020
0.1010 0.1028 0.5430 0.5337 0.4866 3.1375
0.1050 0.1069 0.4620 0.4543 0.8824 4.1284
0.4070 0.4145 0.7260 0.7142 2.9361 3.4841
0.4040 0.4112 0.6390 0.6283 5.0241 7.8246
0.2240 0.2277 0.3490 0.3429 0.1947 0.5867
0.3470 0.3531 0.3130 0.3079 0.8113 1.0285
0.1610 0.1636 0.1750 0.1718 0.0998 0.1225
0.1890 0.1924 0.0460 0.0454 1.0249 0.2935
