Inf_UN Sus_UN F_GT G_GT
0.2064 0.6354 1.6963 5.0306
0.3255 0.9462 4.7602 13.9571
0.9662 0.3101 11.4431 2.6147
0.2210 0.6835 1.5268 4.6616
0.1261 0.7990 2.2346 15.0331
0.5858 0.6572 5.9297 5.5225
0.1303 0.4343 1.4024 4.5519
0.3448 0.8238 1.9908 3.4990
0.5726 0.1516 13.6138 3.5060
0.9930 0.7024 3.7735 2.4194
0.6909 0.5243 3.5394 2.9673
0.0424 0.1779 0.2640 1.0160
0.5168 0.0657 6.4929 0.8755
0.7906 0.3564 9.4492 3.9728
0.0640 0.9502 0.7180 9.4487
0.3198 0.0304 1.1905 0.0840
0.9720 0.0354 7.0209 0.2609
0.2569 0.3838 2.7107 4.5668
0.0741 0.9236 0.4484 3.2893
0.4608 0.3061 1.6126 0.5330
0.9122 0.7727 3.8623 4.7722
0.2339 0.6166 0.5922 2.3559
0.5335 0.3424 5.6716 3.5047
0.4963 0.8556 2.8985 4.5687
0.2008 0.1665 0.9824 1.2421
0.9742 0.3679 7.9449 3.4946
0.2590 0.1816 3.2490 2.1480
0.0305 0.9159 0.0810 1.3413
0.4704 0.3001 1.7007 0.6340
0.8650 0.1250 0.8581 0.0436
0.1031 0.3966 0.2719 1.4427
0.0700 0.5566 0.1056 1.2155
0.2725 0.5556 0.3741 0.8278
0.5679 0.4807 3.3115 2.6589
0.0950 0.8077 0.2143 1.4974
0.7679 0.1668 1.9814 0.5780
0.3020 0.7034 2.3231 6.9670
0.6954 0.8724 23.8423 29.4885
0.1196 0.5691 1.8161 8.4640
0.6909 0.4706 5.1491 4.1168
0.0367 0.1467 0.0769 0.5792
0.3159 0.8358 0.0242 0.3157
0.3930 0.8268 1.9171 3.9589
0.4054 0.1788 0.0121 0.0558
0.3582 0.2545 3.1023 1.9066
0.1248 0.4323 0.8342 2.7129
0.5892 0.2430 1.9999 0.7579
0.5185 0.7208 2.6628 3.2421
0.8143 0.8815 13.6537 16.5399
0.6919 0.7472 4.6028 7.1816
0.7163 0.8984 3.2040 4.6077
0.5332 0.4933 2.1520 2.2063
0.7428 0.1415 12.4035 1.7090
0.0871 0.4235 0.4733 1.7579
0.3931 0.3908 2.7363 1.9381
0.2554 0.5885 0.3536 0.8032
0.5156 0.6666 4.9613 5.1709
0.2979 0.4307 1.4830 2.1442
0.2391 0.1117 0.1418 0.1764
0.6026 0.6046 4.0762 4.7039
0.2773 0.4541 4.3597 6.6689
0.1849 0.9354 0.7968 3.6769
0.2054 0.1783 1.0952 0.9851
0.5396 0.2002 7.3440 1.9652
0.2999 0.2304 2.1551 1.2820
0.5190 0.0888 3.5177 0.6140
0.3780 0.6923 6.7641 13.9065
0.4998 0.6205 10.9600 11.4963
0.6495 0.7495 3.4125 5.6007
0.3930 0.8145 5.2059 10.7294
0.5473 0.3347 0.9160 0.4152
0.9229 0.3465 1.0024 0.3173
0.5358 0.5895 8.5407 10.1024
0.1491 0.4926 0.6198 2.0057
0.6441 0.9322 6.2365 8.2462
0.9540 0.1465 14.0753 1.8544
0.8950 0.4186 4.1838 1.3066
0.7767 0.5064 7.0786 4.2140
0.0710 0.2982 0.8630 3.8367
0.4197 0.5152 3.5007 6.0757
0.5634 0.2956 3.9181 1.7248
0.7601 0.2521 4.3388 1.4520
0.6116 0.7463 5.3950 7.0085
0.2245 0.7306 0.1471 1.0190
0.0100 0.8936 0.1290 11.7766
0.3531 0.6562 1.5665 4.2024
1.0112 0.6632 1.6843 1.0332
0.3945 0.9817 3.0212 10.0856
0.6882 0.6190 1.5244 1.9369
0.8083 0.2439 4.4991 1.7417
0.8909 0.6247 5.1425 3.7051
0.9939 0.2806 0.9009 0.4998
0.5877 0.5006 0.7846 0.8448
0.5778 0.2520 2.7572 1.1843
0.4501 0.3722 3.0868 2.4713
0.3931 0.1044 1.8952 0.5029
0.3932 0.5563 1.4594 1.3190
0.0610 0.8339 0.3878 4.7264
0.1916 0.5451 1.0036 2.0371
0.8048 0.3119 3.5158 0.8728
0.3788 0.8159 2.8741 5.0370
0.4787 0.1853 1.3963 0.5325
0.5817 0.8048 1.1972 2.6747
0.2956 0.1948 0.3523 0.1943
0.1004 0.6907 0.3059 1.8041
0.1698 0.2803 0.2121 0.2194
0.2007 0.2705 0.4291 0.3641
0.0287 0.4729 0.0199 0.1843
0.5506 0.5468 5.2976 4.5667
0.4658 0.5901 0.7802 0.4746
0.3259 0.8456 1.1261 1.4646
0.3138 0.9804 0.6926 3.2511
0.5622 0.2835 0.9240 0.1286
0.0485 0.7382 0.1795 4.5682
0.0520 0.4937 0.8154 6.1183
0.0123 0.4058 0.2111 6.6219
0.1030 0.1158 0.4172 0.6796
0.6610 0.7860 10.5734 11.0388
0.6532 0.8663 4.7391 5.3863
0.4021 0.4453 1.3537 1.8196
0.4625 0.5814 2.9022 3.5920
0.5761 0.1173 2.7787 0.8098
0.6336 0.9209 2.5015 3.8815
0.0363 0.1002 0.1864 0.5507
0.1276 0.4786 0.5888 2.6425
0.9536 0.0820 9.5107 1.0559
0.7286 0.2532 6.9753 2.7620
0.4104 0.0577 1.2732 0.2451
0.9411 0.8819 22.8347 21.0084
1.0029 0.8796 7.9705 5.2036
0.4826 0.4679 7.5063 8.0824
0.3439 0.2465 2.6619 1.8065
0.6156 0.7727 7.5161 9.6971
0.5267 0.3315 8.4995 4.2911
0.3082 0.6421 2.3192 5.4742
0.6800 0.8752 5.3041 6.3331
0.3063 0.1147 5.4184 2.6186
0.9630 0.6614 14.9131 9.7471
0.9523 0.2504 13.2930 3.4782
0.3455 0.0223 2.6415 0.1691
0.1258 0.5543 0.8718 3.2628
0.2440 0.1075 0.8005 0.2691
0.6058 0.9068 7.7754 12.9034
0.3582 0.1637 2.7386 1.1233
0.5427 0.7271 7.0774 10.5887
0.1885 0.0890 2.1099 1.1434
0.2007 0.6769 2.1370 8.6107
0.2305 0.6247 2.6717 8.9486
0.8276 0.3888 7.7355 3.6938
0.7981 0.1478 4.5604 0.8759
0.5412 0.8662 5.2793 9.3142
0.9273 0.5122 14.2058 9.0881
0.0777 0.5972 0.2739 2.2627
0.0998 0.5360 0.4919 3.0462
0.2979 0.6687 1.9217 5.3733
0.9285 0.4994 2.6385 1.5601
0.0596 0.0621 0.2614 0.2067
0.4125 0.9268 0.7499 1.0831
0.5058 0.7778 0.4387 0.6880
0.4683 0.5148 3.8920 3.4695
0.5172 0.9734 2.4762 6.1179
0.5595 0.7934 0.5526 0.2213
0.4229 0.0357 2.9839 0.1955
0.1380 0.5158 0.6719 2.0990
1.0163 0.0360 1.2385 0.0068
0.4784 0.8300 10.0657 16.6897
0.9446 0.6594 2.1059 1.7440
0.9528 0.1797 5.1861 0.9839
0.8546 0.9776 1.0600 0.8101
0.0533 0.9120 0.7771 13.5650
0.7529 0.0646 6.5350 0.4785
0.6906 0.6953 7.3468 5.5893
0.1936 0.0739 1.5940 0.4229
0.9700 0.3823 11.6245 5.7138
0.0865 0.3490 0.1471 0.9161
0.1455 0.7351 1.8542 9.9528
0.0198 0.8706 0.0795 2.6960
0.5433 0.5803 2.4222 3.4045
0.7849 0.0973 3.1640 0.6244
0.1695 0.6808 0.0694 0.7227
0.0711 0.1580 0.3979 1.3482
0.4286 0.1309 0.3210 0.1420
0.3075 0.4835 1.2314 2.2350
0.6334 0.7377 4.4954 4.3033
0.1218 0.4716 0.3240 1.9117
0.0271 0.1716 0.0045 0.1301
0.4107 0.9485 2.8376 6.3560
0.8636 0.5828 8.0292 5.1808
0.8175 0.2537 5.8922 1.8648
0.2593 0.0091 1.1219 0.0628
0.6039 0.0598 1.1555 0.1714
0.3483 0.6352 3.4138 5.9183
0.0336 0.8749 0.1028 4.4739
0.9353 0.4355 0.1569 0.3302
0.0082 0.0512 0.0150 0.0710
0.9945 0.0352 5.6300 0.2301
0.8877 0.1604 2.2573 0.2703
0.2483 0.0986 0.8006 0.3167
0.8052 0.8037 1.0370 1.3108
0.5277 0.6846 6.0055 6.6725
0.5436 0.3038 5.8784 4.2568
0.9343 0.3991 12.0437 4.3012
0.0582 0.3054 0.3741 2.7264
0.1137 0.3159 1.1261 3.8253
0.2758 0.1460 0.1955 0.0841
0.8613 0.8658 1.7280 1.5541
0.1675 0.7840 2.2476 10.0330
0.6469 0.7996 4.1122 3.0254
0.9987 0.8631 6.8376 7.4523
0.1530 0.2392 0.5647 0.5302
0.2159 0.4634 1.1993 1.9671
0.9378 0.8431 4.7856 3.7505
0.3068 0.4496 1.2143 2.0116
0.0116 0.4637 0.0142 0.4044
0.7985 0.7286 8.4775 6.3887
0.2441 0.9146 0.4484 0.5781
0.5046 0.4106 3.9073 3.5120
0.5078 0.2755 2.2215 0.7229
0.9203 0.4624 2.7056 0.7691
0.1707 0.8740 1.6525 8.2120
0.5853 0.7267 0.3285 0.8636
0.5154 0.6856 5.2961 7.4000
0.2693 0.1153 1.1608 0.5970
0.0608 0.5169 0.3726 3.6094
0.5789 0.5582 0.3133 0.0662
0.5372 0.2798 2.6332 1.6293
0.8490 0.4147 0.0404 0.0277
0.7999 0.9139 1.4963 0.9077
0.7542 0.6134 2.1604 0.6083
0.3782 0.4123 1.8726 1.7247
0.4349 0.9143 1.1877 2.4477
0.2605 0.5025 4.3323 8.6595
0.4110 0.8502 2.1684 3.7737
0.7399 0.3999 2.4088 0.5618
0.6139 0.1876 1.0746 0.3318
0.2910 0.2163 4.3577 2.2633
0.7215 0.6064 1.3019 0.6036
0.0951 0.8814 0.8145 5.1528
0.3264 0.5815 2.4653 2.8921
0.8927 0.3393 4.5015 1.2062
0.0305 0.8837 0.2751 9.2045
0.9909 0.0485 1.9224 0.0849
0.5753 0.8337 1.7557 1.9590
0.3591 0.9667 1.7723 4.1218
0.6287 0.2547 5.0560 1.3581
0.6185 0.1468 6.5630 1.1380
0.5457 0.0218 6.4115 0.1974
0.0717 0.1969 0.3468 0.6993
0.3569 0.7240 4.9046 11.1301
0.7903 0.7515 4.3255 3.2214
0.3524 0.0744 0.2758 0.0225
0.7592 0.3493 0.9605 0.1665
0.9625 0.0422 2.5421 0.0707
0.2055 0.1924 1.6555 1.8717
0.4541 0.4611 4.4995 4.3661
0.1503 0.2769 0.6618 1.4452
0.2106 0.1986 0.8353 0.7954
0.4126 0.3554 1.6111 1.6888
0.3669 0.2913 0.8701 1.0174
0.5901 0.6452 6.1458 7.7523
0.8910 0.8192 2.5465 3.2195
0.2192 0.8783 2.6717 10.0368
0.1661 0.7340 0.9658 4.9251
0.2071 0.9257 2.4021 11.8329
0.1460 0.7534 2.9004 13.6338
1.0137 0.4205 29.2301 9.6707
0.6787 0.1197 5.2364 0.6978
0.4972 0.7039 5.0664 6.7740
0.1896 0.9784 1.2863 4.8137
0.8707 0.8953 5.0005 7.0456
0.1772 0.6263 1.2231 4.0914
0.8508 0.7296 9.9453 6.3999
0.6386 0.7194 5.3431 6.0442
0.7189 0.8161 11.1105 11.7783
0.7048 0.5408 0.8534 0.6372
0.0294 0.6950 0.0757 1.4925
0.8451 0.1248 7.1475 1.0102
0.5562 0.2723 0.5270 0.1573
0.1378 0.1342 0.8192 0.6645
0.3305 0.6199 2.2235 3.7356
0.6413 0.0350 1.7040 0.1044
0.1615 0.4560 0.7145 1.5854
0.3179 0.5474 0.9134 1.7808
0.7881 0.8855 5.5652 4.9677
0.3494 0.3255 1.9126 1.6768
0.6428 0.0454 2.9415 0.2215
0.7191 0.1401 12.5596 3.0208
0.5433 0.4150 10.5409 7.0889
0.6477 0.0384 11.8476 0.5430
0.5519 0.2026 2.9535 0.6625
1.0123 0.6447 9.6587 6.4644
0.7477 0.9488 2.0271 2.0785
0.4973 0.4469 1.2138 1.1509
0.7532 0.1957 6.3460 1.9037
0.4505 0.2218 4.0309 1.7203
0.5246 0.2070 3.0779 1.2429
0.0525 0.8925 0.2634 6.1432
1.0062 0.3756 3.8762 1.7399
0.0542 0.2910 0.1169 0.3579
0.0070 0.0334 0.1138 0.5032
0.5123 0.1751 5.2045 1.9971
0.4278 0.2616 1.8041 1.6772
0.2694 0.7161 0.6134 1.7285
0.0547 0.5314 0.4066 3.7710
0.4149 0.1914 2.6931 1.2682
0.6700 0.0188 3.6808 0.0812
0.3605 0.5210 0.0875 0.1584
0.5560 0.7589 1.3470 1.2389
0.6587 0.0357 9.2742 0.4366
0.5505 0.9162 2.7618 4.3999
0.4760 0.3973 9.5925 7.3541
0.6982 0.2581 0.6810 0.4821
0.3462 0.5451 2.1853 2.4643
0.0384 0.7260 0.5172 7.9169
0.5585 0.7022 5.8111 5.3302
0.6854 0.9395 5.2353 6.4286
0.1551 0.8211 1.9378 9.3910
0.0316 0.7616 0.2444 5.6081
0.9489 0.3713 7.8146 2.0158
1.0166 0.8872 7.6471 6.0625
0.6090 0.6157 2.8010 3.7949
0.8335 0.8507 12.2948 11.7140
0.3762 0.0221 4.5827 0.3271
0.6304 0.3309 4.0772 2.3997
0.8275 0.3332 5.2265 2.4186
0.3699 0.0062 5.6634 0.0606
0.0705 0.1382 0.0812 0.1865
0.9307 0.1002 4.9646 0.5660
0.4849 0.3842 8.5951 5.2670
0.6501 0.2968 1.9224 0.9806
0.5590 0.5889 2.5834 2.4902
0.6242 0.3897 3.5928 2.4011
0.4663 0.8848 2.2382 5.3911
0.7734 0.8280 7.6328 9.0860
0.3507 0.2864 0.8530 1.2432
0.0193 0.8574 0.0566 2.2971
0.2146 0.3953 1.8672 3.4674
0.5563 0.5473 1.1708 0.9722
0.4174 0.5559 0.2368 1.0663
0.2330 0.2970 1.4111 1.5605
0.4714 0.0305 1.3218 0.1668
0.5583 0.2417 3.9632 1.6237
0.0541 0.8872 0.4494 9.9180
0.0402 0.6498 0.1395 2.3757
0.0299 0.6415 0.1931 2.7371
0.9416 0.8432 10.0423 7.0744
0.2191 0.4074 0.9461 2.5343
0.3650 0.1602 3.6625 2.2083
0.0161 0.4755 0.0937 2.5693
0.5691 0.8782 2.2088 2.6734
0.8727 0.1500 7.1693 0.6361
0.6638 0.2062 2.4274 0.4310
0.2521 0.5397 2.4319 4.7982
0.5029 0.2232 0.5565 0.3851
0.2400 0.9061 1.1080 3.4443
0.8768 0.2003 3.0109 0.3998
0.7944 0.5456 0.4660 0.0316
0.6214 0.7558 3.1130 3.9451
0.9946 0.4992 5.0027 2.1486
0.4735 0.5362 3.8647 3.9977
0.0828 0.6721 0.0336 0.9298
0.7019 0.1478 9.0052 1.8784
0.4921 0.1379 3.2834 0.8993
0.1107 0.2830 0.7175 1.6862
0.7816 0.3945 5.1855 2.0474
0.7277 0.0020 4.6185 0.0089
0.1607 0.2582 3.0863 4.2709
0.2195 0.1213 0.5891 0.4401
0.1901 0.3159 0.2340 0.6820
0.1055 0.4445 0.3221 1.3758
0.3660 0.4818 1.5856 2.7544
0.0193 0.0047 0.2069 0.0492
0.2000 0.8749 0.1952 1.7041
0.8734 0.9175 5.3952 5.5028
0.3043 0.4137 0.2618 0.5347
0.7116 0.2568 4.4902 1.8018
0.1846 0.5159 1.1195 2.6981
0.7650 0.3311 4.7642 1.7795
0.7080 0.4580 8.7210 5.3493
0.0601 0.1928 0.4419 1.3731
0.6345 0.4430 1.0028 0.5780
0.1622 0.0945 0.0976 0.1051
0.0977 0.5625 0.1373 0.5623
0.7856 0.9327 5.0140 6.0293
0.9100 0.5193 10.5157 7.1274
0.5207 0.6776 1.5841 1.1013
0.0743 0.3214 0.9839 5.0319
0.4300 0.0469 2.2472 0.1966
0.9503 0.0441 3.2413 0.2060
0.1038 0.5371 0.4932 3.1573
0.1078 0.4541 0.8885 4.1367
0.4145 0.7161 2.9399 3.4982
0.4115 0.6282 5.0379 7.8240
0.2276 0.3460 0.1961 0.5917
0.3534 0.3075 0.8100 1.0291
0.1655 0.1746 0.1010 0.1248
0.1958 0.0484 1.0470 0.3224
0.6934 0.9019 0.7945 2.2126
0.3766 0.0574 2.7912 0.6397
0.0959 0.7115 0.9174 7.1856
0.0710 0.8634 1.1063 10.5334
0.4759 0.9555 1.3472 1.1192
0.5149 0.9483 4.3417 8.2004
0.8612 0.5524 2.7915 1.3945
0.4422 0.1472 2.7277 0.8771
0.0695 0.8754 0.0754 1.6108
0.9879 0.9667 1.2283 1.5246
0.8646 0.1483 3.6663 0.8648
0.1093 0.7101 0.5901 3.4504
0.5322 0.4156 3.4303 2.0760
0.6375 0.1883 0.6736 0.2105
0.4870 0.2300 1.8598 1.0697
0.3504 0.7807 2.1394 4.7752
0.5963 0.7019 3.7933 5.7735
0.0737 0.2666 0.1957 0.7829
0.4588 0.9563 5.9330 11.4685
0.0552 0.9736 0.4564 9.9194
0.4078 0.0553 3.6167 0.3677
0.7298 0.7265 5.6225 4.5004
0.9855 0.0378 6.5508 0.1885
0.5247 0.3863 0.4704 0.0989
0.5607 0.8480 4.4067 5.8070
0.8677 0.6586 3.1560 1.0333
0.4372 0.9602 2.3709 4.3005
0.9477 0.7956 1.6598 1.1246
0.2918 0.8602 0.2616 0.2203
0.5620 0.5457 0.5038 0.1397
0.0674 0.9270 0.5870 7.3704
0.3455 0.9063 0.5134 1.0909
0.1999 0.0027 0.6405 0.0069
0.2020 0.2234 0.7194 0.7447
0.5858 0.7828 2.1065 2.8026
0.8069 0.5847 9.0439 3.5971
0.2451 0.0105 2.0893 0.1029
0.1139 0.5182 0.0887 0.2900
0.6384 0.4085 4.7334 2.9931
0.4897 0.8802 7.0487 11.2666
0.1577 0.0706 0.5552 0.4038
0.0134 0.8254 0.0574 2.5733
0.2914 0.0274 2.7371 0.2102
0.5662 0.7983 3.0182 4.1046
0.6740 0.7999 3.0902 2.2838
0.4789 0.5602 1.9420 2.0044
0.4322 0.5259 1.5586 0.9378
0.9590 0.8460 5.8687 6.4494
0.0294 0.4066 0.1763 2.8017
0.1053 0.6702 0.1523 0.6086
0.8729 0.7141 2.7172 2.7966
0.1305 0.4584 0.1276 0.1353
0.1562 0.4792 0.6806 1.9400
0.4709 0.6900 2.6403 5.2414
0.3898 0.2739 0.3809 0.0808
0.0189 0.4284 0.0648 0.6258
0.7809 0.0944 4.5872 0.3946
0.4704 0.7559 1.6141 1.2326
0.7214 0.8926 3.6968 5.2165
0.9339 0.2103 1.5918 0.2249
0.3315 0.7913 0.5873 0.2689
0.4091 0.2679 0.3874 0.0874
0.5809 0.3434 2.2174 1.1654
0.1610 0.3146 0.7339 1.2698
0.2342 0.5722 0.6013 1.6705
0.2184 0.1154 0.0713 0.1366
0.8233 0.3607 1.0087 0.6136
0.7860 0.3258 10.2029 3.5703
0.8659 0.5466 2.8792 0.8344
0.1684 0.1082 0.4231 0.0688
0.5666 0.1254 0.9615 0.1302
0.6813 0.7268 0.6812 0.4844
0.0272 0.8830 0.0377 0.8244
0.5355 0.5994 2.0578 2.4650
0.3175 0.8323 0.5210 1.3692
0.1045 0.9239 0.2881 1.6058
0.0293 0.0793 0.0688 0.2375
0.4212 0.8806 3.3746 7.4177
0.9727 0.4130 9.9270 4.3038
1.0038 0.2860 0.8830 0.2966
0.2435 0.0767 2.1832 0.7135
0.3744 0.4979 1.4846 1.6743
0.6645 0.6957 0.9336 0.6589
0.9400 0.5804 1.6510 0.9903
0.9401 0.0810 9.3401 0.7045
0.8164 0.7439 0.3552 0.0977
0.3012 0.1453 0.8475 0.2094
0.1168 0.8407 1.7655 10.3130
0.5291 0.5884 1.4928 1.6758
0.1583 0.0099 1.8929 0.1299
0.8516 0.3988 4.5303 1.9886
0.1303 0.5526 0.2772 1.4392
0.1319 0.1622 0.3918 0.3901
0.6298 0.7673 3.3905 4.6209
0.5031 0.5075 1.6216 1.3242
0.0042 0.4714 0.0072 0.5823
0.7688 0.0228 3.7611 0.0593
0.4189 0.8759 2.2696 5.2189
0.9539 0.5439 3.3870 1.0851
0.5084 0.7504 8.1695 13.8130
0.8622 0.4405 4.3825 2.5156
0.8043 0.5599 2.3999 0.7494
0.0427 0.7840 0.1192 2.2623
0.4846 0.3107 3.4120 3.6745
0.5139 0.9580 2.5585 5.7512
1.0089 0.5313 1.0541 0.6878
0.0574 0.9051 0.4103 8.3005
0.2565 0.7800 0.8310 2.3394
0.8369 0.2006 11.4074 2.4623
0.2749 0.3303 0.7460 0.9664
0.8619 0.0971 0.4525 0.0671
0.7869 0.0041 1.3041 0.0063
0.3273 0.7785 0.0800 0.4360
0.2434 0.1373 4.6144 2.6365
0.7280 0.1217 0.5461 0.1469
0.5920 0.5643 0.5521 0.6605
0.1924 0.0613 0.5634 0.1873
0.9956 0.2253 1.3535 0.2776
0.4412 0.9404 0.0294 0.4868
0.3628 0.4881 2.5097 3.8438
0.8425 0.1034 9.9832 1.1228
0.9222 0.7511 4.9702 3.6269
0.5315 0.5474 1.0019 0.8117
0.1954 0.2633 2.9383 3.6010
0.9841 0.1029 1.8230 0.0964
0.0679 0.7630 0.8295 7.6915
0.8436 0.5868 9.7147 6.7487
0.6335 0.1067 4.0281 0.7819
0.2434 0.4574 1.1901 2.0630
0.4578 0.0542 3.7946 0.5569
0.9878 0.0224 2.6646 0.0739
0.5463 0.6180 1.9497 1.5832
0.3719 0.6943 0.6252 0.7123
0.6921 0.5754 8.5773 5.6404
0.4923 0.2476 3.1398 1.7593
0.4398 0.0314 1.3005 0.1302
0.7707 0.7364 1.6604 2.7556
0.5216 0.0915 2.0970 0.3352
0.5659 0.5339 2.9492 3.3137
0.5765 0.0152 1.0587 0.0275
0.0382 0.5391 0.0210 0.9781
0.9745 0.2894 1.2103 0.6099
0.4088 0.5688 2.4584 2.8746
0.2137 0.8942 0.4843 2.1714
0.3595 0.1876 0.4829 0.2743
0.2989 0.9665 0.8688 5.0079
0.1301 0.9242 0.3390 2.3342
0.0972 0.4518 0.8207 3.4472
0.3892 0.2577 0.5767 0.2755
0.4988 0.9012 1.8481 4.2769
0.2983 0.3827 0.2555 0.1903
0.2828 0.0105 0.0473 0.0021
0.8778 0.0730 1.9490 0.1595
0.6915 0.8510 0.1158 0.1717
1.0592 0.2917 0.1773 0.0589
0.2177 0.2389 0.3158 0.1074
0.7171 0.0127 1.3528 0.0416
0.4138 0.5107 0.7690 1.8581
0.6908 0.5439 1.3708 1.7687
0.6635 0.2410 1.3179 0.4254
0.2795 0.1555 0.5247 0.2760
0.5321 0.7628 0.2219 0.8930
0.7856 0.6389 0.9322 1.3087
0.6088 0.2050 0.2245 0.1998
0.3584 0.2004 1.4926 1.0031
0.6543 0.1795 0.5320 0.2945
0.7120 0.9528 0.7791 0.2984
0.9343 0.0647 3.9204 0.1690
0.4510 0.0378 2.1085 0.1485
0.3537 0.5720 1.4266 1.8603
0.8620 0.5048 0.3426 0.0525
0.9710 0.4216 2.0593 0.9843
0.6358 0.2397 0.3062 0.1363
0.7125 0.8741 2.6756 3.2861
0.1525 0.9498 0.1576 1.3502
0.9369 0.1796 2.7374 0.2788
0.1437 0.7698 0.6867 4.2205
0.9379 0.4152 5.7546 2.1278
0.7107 0.4526 2.8854 1.3987
0.5508 0.7450 0.4809 0.5187
0.2682 0.2846 0.7689 0.6162
0.1060 0.0907 0.2593 0.1748
0.0932 0.7037 0.3967 2.4964
0.6042 0.1541 2.9725 0.7982
0.1546 0.1399 0.9834 0.9666
0.3390 0.3576 1.5809 2.0379
0.9850 0.2316 1.6687 0.5178
0.2428 0.2878 0.3033 0.4016
0.0084 0.5278 0.0100 0.4398
0.3142 0.6998 2.3588 6.0083
0.2967 0.6604 0.2471 0.2086
0.5379 0.3861 1.7368 1.1814
0.9908 0.2741 5.8533 1.3338
0.1530 0.3019 0.7433 1.4077
0.0528 0.1503 0.1942 0.6030
0.9470 0.8598 9.8172 8.8813
0.3583 0.8905 2.0681 5.0901
0.4700 0.4566 2.7883 3.0238
0.6432 0.5245 3.3437 3.1335
0.5937 0.9301 1.2409 1.3696
0.0108 0.2280 0.0145 0.1571
0.6528 0.2435 1.1227 0.4368
0.4680 0.4021 0.2206 0.2781
0.0754 0.4261 0.2141 1.4483
0.9306 0.4253 3.3899 1.3123
0.5162 0.3924 0.1318 0.1409
0.0649 0.0308 0.1746 0.1389
0.9666 0.7804 2.1132 1.0081
0.9820 0.2909 1.5708 0.2148
0.6529 0.0307 0.5116 0.0177
0.7689 0.7141 2.6039 2.5823
0.1617 0.6461 0.4316 0.9793
0.5177 0.7332 3.3589 4.8440
0.6538 0.1703 1.4796 0.4570
0.5161 0.5608 0.4553 0.4570
0.5294 0.5566 1.2660 1.3164
0.9592 0.7921 1.1255 0.9361
0.6279 0.4492 0.9401 0.6028
0.0517 0.4260 0.0569 0.4581
0.9654 0.4368 0.9759 0.4176
0.5536 0.8777 0.0789 0.6526
0.6347 0.6096 0.5480 0.6649
0.2983 0.7888 2.8159 8.3928
0.2215 0.6476 0.6683 1.3340
0.0455 0.5701 0.1456 1.3024
0.2660 0.9714 0.1775 0.5017
0.8066 0.6101 5.1491 4.2901
0.8672 0.2054 4.3376 0.8055
0.9916 0.7502 2.0109 1.8896
0.4020 0.1703 2.3506 0.8481
0.9851 0.7031 5.4182 5.1000
0.9081 0.8178 2.4639 3.3722
0.4934 0.6196 1.2057 1.8486
