i j Omegaij  Pij
13 166 0.121289 0.120431
13 123 0.260624 0.258108
13 167 0.317220 0.316781
13 109 0.322389 0.320951
13 168 0.072479 0.071650
13 169 0.313711 0.311771
13 170 0.074688 0.075402
13 171 0.269819 0.267905
13 172 0.109854 0.108891
13 173 0.104654 0.105507
13 79 0.025470 0.024804
13 135 0.294005 0.293378
13 111 0.100221 0.098001
13 174 0.184276 0.182860
13 175 0.211563 0.211952
13 106 0.180485 0.181502
13 176 0.227525 0.230321
13 177 0.325522 0.327245
13 178 0.379079 0.380764
13 15 0.257116 0.256213
13 179 0.110998 0.108391
13 180 0.286392 0.286280
13 181 0.192625 0.191052
14 0 0.203076 0.203008
14 6 0.351393 0.350386
14 13 0.488721 0.488071
14 75 0.108514 0.107068
14 182 0.291210 0.287151
14 183 0.083541 0.082040
14 184 0.555205 0.555507
14 185 0.611673 0.612494
14 186 0.315384 0.316317
14 123 0.473044 0.470632
14 32 0.606108 0.606709
14 187 0.410290 0.411475
14 188 0.080092 0.080663
14 189 0.653420 0.650609
14 167 0.577780 0.577617
14 33 0.208484 0.207854
14 190 0.071925 0.070208
14 92 0.259261 0.259548
14 22 0.348806 0.349723
15 0 0.190318 0.191050
15 1 0.004229 0.003348
15 2 0.071025 0.071315
15 5 0.508496 0.510283
15 6 0.331898 0.329747
15 8 0.151352 0.147183
15 9 0.019154 0.018347
15 12 0.063914 0.062163
15 13 0.458630 0.459321
15 191 0.318382 0.316703
15 107 0.098135 0.096808
15 23 0.030509 0.030133
15 192 0.053108 0.054303
15 122 0.387997 0.389597
15 193 0.170005 0.168795
15 194 0.037102 0.037954
15 33 0.196818 0.195610
15 195 0.587555 0.586906
15 196 0.581776 0.584833
15 197 0.308844 0.310772
15 198 0.162989 0.162974
15 29 0.515810 0.519539
15 126 0.398569 0.401679
15 199 0.515246 0.512957
15 76 0.465631 0.467016
15 104 0.577579 0.580374
15 200 0.220200 0.219834
15 201 0.426884 0.427254
15 202 0.585864 0.581646
15 203 0.075770 0.075914
15 204 0.440416 0.438975
15 205 0.164069 0.166171
15 206 0.015630 0.014392
15 207 0.368561 0.368300
15 208 0.070336 0.071944
15 209 0.599881 0.602556
15 32 0.570046 0.570970
15 210 0.109787 0.108593
15 211 0.484738 0.482171
15 212 0.059482 0.058240
15 213 0.451551 0.450123
15 214 0.417221 0.414128
15 215 0.256864 0.258421
15 55 0.120891 0.119083
15 216 0.098056 0.098128
15 217 0.572787 0.574431
15 218 0.341937 0.340281
15 219 0.398569 0.397643
15 128 0.624000 0.621411
15 220 0.359853 0.356536
15 221 0.443501 0.443592
16 0 0.015642 0.015187
16 114 0.040756 0.038130
16 23 0.003305 0.002395
16 33 0.015659 0.015550
16 222 0.027483 0.026428
16 223 0.004047 0.003277
16 224 0.049116 0.049319
17 0 0.206610 0.207706
17 1 0.004022 0.003640
17 2 0.076282 0.077533
17 5 0.555662 0.554770
17 10 0.541520 0.542627
17 12 0.069425 0.067582
17 24 0.089599 0.089640
17 38 0.647503 0.647253
17 25 0.469507 0.467034
17 225 0.563672 0.566964
17 22 0.356486 0.357816
17 37 0.287885 0.287318
17 226 0.371007 0.370587
17 20 0.119779 0.119542
17 26 0.612510 0.615309
17 18 0.266590 0.264641
17 21 0.579067 0.574019
17 227 0.703099 0.704127
18 0 0.038042 0.037695
18 1 0.000950 0.000661
18 2 0.015375 0.014071
18 6 0.066490 0.065061
18 10 0.099267 0.098478
18 17 0.073267 0.071782
18 228 0.105788 0.105694
18 229 0.005168 0.004647
18 37 0.052998 0.052143
18 230 0.067826 0.067622
18 19 0.061982 0.061693
18 26 0.111873 0.111669
18 69 0.042164 0.040541
18 136 0.107349 0.107134
18 231 0.004685 0.004749
18 185 0.114191 0.113730
18 119 0.019512 0.018465
18 81 0.127087 0.124321
18 232 0.108525 0.108959
18 233 0.088449 0.086060
18 234 0.023328 0.023235
18 235 0.127602 0.128662
18 236 0.121259 0.119423
18 237 0.009080 0.008394
18 238 0.093279 0.091259
18 239 0.010223 0.009555
18 40 0.031764 0.031759
18 85 0.121404 0.121300
19 0 0.184705 0.181099
19 1 0.003945 0.003174
19 2 0.068369 0.067601
19 10 0.478038 0.473118
19 18 0.230323 0.230742
19 232 0.522801 0.523471
19 227 0.614594 0.613930
19 80 0.227676 0.223865
19 49 0.176848 0.175504
19 240 0.239775 0.240643
19 40 0.151647 0.152580
19 241 0.222038 0.219517
19 105 0.363246 0.359078
19 242 0.465117 0.463375
19 42 0.364529 0.363999
19 243 0.546357 0.549305
19 21 0.501447 0.500489
20 0 0.218383 0.217640
20 2 0.084245 0.081241
20 8 0.168655 0.167668
20 17 0.416929 0.414446
20 244 0.437932 0.439693
20 245 0.074692 0.073783
20 39 0.732238 0.729683
20 24 0.094912 0.093927
20 45 0.032054 0.031303
20 40 0.183434 0.183366
20 53 0.463079 0.462114
20 246 0.514437 0.513011
20 247 0.120675 0.118508
20 46 0.420723 0.416524
20 248 0.099456 0.098288
20 249 0.366003 0.366653
20 250 0.558956 0.559696
20 222 0.379749 0.378727
20 251 0.357914 0.359184
20 252 0.130128 0.129509
20 22 0.377636 0.374930
20 49 0.210212 0.210916
20 253 0.721254 0.719878
20 104 0.661824 0.661150
20 254 0.439496 0.441280
20 209 0.685822 0.686419
20 213 0.508396 0.512770
20 205 0.189176 0.189299
20 54 0.722036 0.723649
20 156 0.182918 0.183342
20 255 0.194867 0.192389
20 106 0.353987 0.354804
20 90 0.648160 0.647597
20 238 0.527701 0.526899
20 256 0.007040 0.006074
20 257 0.045101 0.044706
20 258 0.480170 0.481480
20 58 0.388470 0.393482
20 259 0.661907 0.663303
20 38 0.677285 0.678209
20 102 0.126067 0.125942
20 103 0.533343 0.532179
20 260 0.330238 0.329727
21 0 0.017829 0.018987
21 1 0.001131 0.000333
21 2 0.007823 0.007087
21 3 0.050800 0.050515
21 5 0.051663 0.050713
21 6 0.032578 0.032771
21 7 0.054051 0.053748
21 8 0.014436 0.014627
21 10 0.050297 0.049603
21 12 0.006377 0.006178
21 17 0.038296 0.036156
21 19 0.032123 0.031075
21 26 0.056737 0.056247
21 37 0.026923 0.026265
21 31 0.004288 0.003378
22 0 0.006135 0.005551
22 2 0.002997 0.002072
22 14 0.016189 0.015662
22 17 0.011209 0.010570
22 20 0.003513 0.003195
22 261 0.001030 0.000949
22 262 0.000984 0.000665
22 239 0.002123 0.001407
22 263 0.004215 0.003078
22 37 0.008461 0.007678
22 264 0.002154 0.001901
22 265 0.016564 0.015457
22 226 0.010241 0.009904
22 53 0.012036 0.011786
22 181 0.010116 0.009525
22 133 0.014597 0.013364
22 134 0.012192 0.011977
22 24 0.002966 0.002396
22 42 0.012598 0.011157
22 245 0.002045 0.001882
22 44 0.011662 0.011293
22 266 0.014300 0.013231
22 267 0.006151 0.005855
22 38 0.018375 0.017297
22 142 0.003216 0.002813
22 268 0.007931 0.007718
22 269 0.005964 0.005826
22 270 0.007337 0.006102
22 271 0.003434 0.002828
22 45 0.000703 0.000798
22 43 0.003341 0.002072
22 41 0.011006 0.010246
22 272 0.017188 0.016824
22 79 0.001967 0.001237
22 195 0.017391 0.017052
22 254 0.011990 0.011255
22 273 0.015892 0.015150
22 274 0.016595 0.015546
22 275 0.016173 0.016693
22 49 0.006088 0.005379
22 276 0.004855 0.004587
22 277 0.009242 0.009028
22 278 0.017422 0.016211
22 96 0.002919 0.002388
22 279 0.008945 0.008705
22 202 0.018328 0.016899
22 229 0.000999 0.000684
22 280 0.008930 0.008999
22 281 0.015580 0.014064
22 282 0.017391 0.017820
22 283 0.007478 0.007889
23 0 0.018704 0.018711
23 1 0.000911 0.000328
23 8 0.015622 0.014415
23 9 0.002312 0.001797
23 12 0.008126 0.006088
23 13 0.043257 0.044985
23 15 0.044098 0.043059
23 16 0.053310 0.052211
23 107 0.009667 0.009481
23 284 0.017968 0.017675
23 108 0.056077 0.054816
23 285 0.029667 0.029964
23 181 0.031489 0.032108
23 33 0.018634 0.019158
23 175 0.037653 0.035621
23 286 0.056848 0.056932
23 287 0.047496 0.047444
23 262 0.002942 0.002243
23 288 0.043888 0.044595
23 114 0.044378 0.046978
23 289 0.007916 0.007500
23 166 0.021541 0.020240
23 69 0.020981 0.020124
23 290 0.034221 0.033574
23 118 0.031769 0.032224
23 291 0.037338 0.036309
23 123 0.045324 0.043378
23 57 0.058529 0.058382
23 29 0.050193 0.050883
23 167 0.052469 0.053238
23 32 0.055026 0.055920
23 115 0.058249 0.057289
23 292 0.019124 0.018131
23 293 0.027671 0.027241
23 173 0.017373 0.017732
23 294 0.060140 0.059329
23 109 0.054886 0.053939
23 119 0.010718 0.009166
23 120 0.027005 0.027868
23 295 0.040140 0.040128
23 296 0.027356 0.026844
23 111 0.016287 0.016470
24 0 0.087505 0.086473
24 10 0.225895 0.225909
24 17 0.163353 0.164668
24 20 0.049820 0.049768
24 22 0.147678 0.148968
24 25 0.196753 0.194438
24 226 0.157019 0.154285
24 38 0.269168 0.269467
24 286 0.258417 0.263112
24 264 0.029860 0.029609
24 297 0.276593 0.275312
24 298 0.152495 0.151029
24 299 0.254079 0.256693
24 300 0.119468 0.120749
24 61 0.254052 0.251985
24 301 0.057698 0.056825
24 125 0.034597 0.033165
24 59 0.219987 0.217123
24 302 0.065549 0.064851
24 237 0.020758 0.019257
25 0 0.275810 0.279241
25 17 0.534789 0.531751
25 24 0.124065 0.120512
26 0 0.016369 0.015190
26 2 0.005811 0.005670
26 5 0.040861 0.040572
26 10 0.039408 0.039684
26 17 0.029662 0.028926
26 18 0.019446 0.019354
26 21 0.041189 0.041980
26 94 0.048780 0.048555
26 237 0.003858 0.003383
26 303 0.033863 0.032059
26 234 0.010340 0.009363
26 69 0.017494 0.016337
26 185 0.047031 0.045830
26 231 0.002077 0.001914
26 229 0.001796 0.001873
26 37 0.022914 0.021012
26 304 0.048140 0.046450
26 85 0.050405 0.048881
26 274 0.042251 0.042542
26 305 0.031911 0.030795
26 306 0.018134 0.017751
27 0 0.092793 0.091716
27 2 0.034395 0.034236
27 5 0.244576 0.244968
27 6 0.160830 0.158299
27 7 0.260204 0.259627
27 12 0.030984 0.029842
27 33 0.095899 0.093905
27 232 0.265872 0.265107
27 181 0.156955 0.157386
27 307 0.282958 0.282683
27 308 0.016237 0.015070
27 279 0.144513 0.143824
28 0 0.169054 0.168229
28 309 0.484163 0.487773
28 310 0.569683 0.567373
28 311 0.147545 0.148120
28 312 0.087077 0.085257
28 313 0.012799 0.012098
28 146 0.300455 0.301943
28 314 0.112526 0.114620
28 315 0.423611 0.424652
29 0 0.087261 0.086471
29 8 0.065825 0.066617
29 9 0.009285 0.008304
29 15 0.203849 0.198994
29 23 0.013669 0.013638
29 316 0.225957 0.225597
29 317 0.022500 0.021250
29 318 0.106081 0.105502
29 319 0.013293 0.012135
29 320 0.058513 0.057484
29 321 0.138853 0.138324
29 322 0.082720 0.083209
29 323 0.061269 0.059517
29 48 0.061128 0.061892
29 324 0.106035 0.106594
29 325 0.086744 0.086583
29 177 0.255926 0.254163
29 33 0.090032 0.088535
29 195 0.267701 0.265640
29 326 0.194344 0.193954
29 327 0.245311 0.246625
29 217 0.260013 0.259994
29 199 0.230310 0.232170
29 210 0.048320 0.049150
29 193 0.076911 0.076399
29 200 0.100711 0.099499
30 0 0.041464 0.039724
30 328 0.121435 0.121218
30 44 0.079376 0.080819
30 329 0.103184 0.101485
30 258 0.085261 0.087881
30 250 0.100241 0.102158
30 103 0.097737 0.097135
30 330 0.128588 0.128290
30 201 0.089143 0.088837
30 156 0.033842 0.033464
30 331 0.107097 0.104208
30 332 0.059418 0.058091
30 333 0.016733 0.016462
30 53 0.084917 0.084347
30 334 0.098801 0.097401
30 335 0.133989 0.135483
30 244 0.081066 0.080254
30 336 0.123360 0.123288
30 337 0.086983 0.086509
30 338 0.102088 0.100544
30 339 0.099834 0.099315
30 240 0.053595 0.052785
31 1 0.004613 0.004727
31 21 0.726047 0.745418
31 340 0.768985 0.766710
32 1 0.001105 0.000773
32 13 0.107222 0.106010
32 14 0.125104 0.124411
32 15 0.102476 0.101472
32 23 0.006730 0.006955
32 33 0.046377 0.045146
32 119 0.022384 0.021600
32 168 0.028675 0.028377
33 1 0.002614 0.002222
33 2 0.047652 0.047326
33 5 0.337222 0.338629
33 9 0.013445 0.012175
33 13 0.305629 0.304810
33 14 0.364321 0.357716
33 15 0.294672 0.291761
33 16 0.351838 0.353770
33 23 0.021306 0.019997
33 27 0.383243 0.383345
33 29 0.347593 0.344771
33 32 0.381153 0.378901
33 307 0.390687 0.390763
33 107 0.063334 0.064243
33 341 0.239138 0.238569
33 342 0.303580 0.307693
33 181 0.219734 0.217560
33 54 0.421444 0.421549
33 69 0.137561 0.136354
34 1 0.004762 0.001965
35 1 0.002933 0.001873
36 1 0.001504 0.001189
37 1 0.002088 0.001295
37 17 0.142669 0.140728
37 18 0.096794 0.094159
37 21 0.205333 0.204235
37 22 0.127901 0.127310
37 26 0.223158 0.218926
37 343 0.032209 0.032151
37 344 0.069998 0.071364
37 50 0.142084 0.142738
37 269 0.078635 0.077560
37 236 0.236907 0.234128
37 230 0.131927 0.132573
37 232 0.215657 0.213614
37 345 0.035918 0.034162
37 346 0.158005 0.159442
37 274 0.206819 0.206972
37 347 0.008537 0.008856
37 240 0.100386 0.098199
37 253 0.243205 0.244440
37 348 0.117058 0.117459
37 349 0.141800 0.141595
37 350 0.229289 0.228476
37 351 0.084582 0.084270
37 329 0.189662 0.188798
37 352 0.012346 0.011391
38 2 0.048359 0.046119
38 17 0.237989 0.235271
38 20 0.073149 0.071107
38 22 0.214138 0.212839
38 24 0.055656 0.053320
38 353 0.061106 0.060096
38 45 0.018369 0.017770
38 226 0.221749 0.220435
38 51 0.200592 0.199285
38 104 0.374843 0.375319
38 249 0.207670 0.208140
38 312 0.061858 0.062614
38 41 0.226745 0.228059
38 244 0.248105 0.249603
38 239 0.032573 0.031317
38 245 0.041813 0.041885
38 42 0.251222 0.248326
38 354 0.177462 0.177746
38 355 0.016678 0.016078
38 356 0.088480 0.086714
38 313 0.009725 0.008885
38 331 0.325921 0.324104
38 357 0.278768 0.278026
38 106 0.201766 0.201414
38 40 0.106897 0.104093
38 44 0.251284 0.251361
38 264 0.043019 0.042304
38 49 0.122745 0.119732
39 2 0.060813 0.060301
39 20 0.092808 0.092974
39 358 0.536475 0.533569
39 53 0.343905 0.343006
39 54 0.537791 0.537131
39 335 0.547845 0.550959
39 267 0.173056 0.170399
39 353 0.079136 0.078577
39 292 0.155046 0.156538
39 359 0.248935 0.251617
39 45 0.022756 0.023235
39 360 0.111195 0.109538
39 55 0.100435 0.100692
39 361 0.125399 0.124491
39 362 0.116206 0.115615
39 363 0.501738 0.501689
39 48 0.113857 0.115626
39 46 0.309231 0.309166
39 41 0.299082 0.298194
39 364 0.212241 0.209680
39 354 0.231974 0.232408
39 104 0.487299 0.490741
39 156 0.135047 0.136086
39 57 0.504604 0.504045
39 202 0.493187 0.491817
39 365 0.164584 0.163467
39 366 0.018825 0.018316
40 2 0.033993 0.032389
40 8 0.066779 0.066846
40 18 0.110144 0.110554
40 19 0.142930 0.142008
40 20 0.048909 0.049938
40 38 0.269816 0.270389
40 353 0.042571 0.042205
40 352 0.013867 0.013374
40 86 0.091877 0.092657
40 367 0.053754 0.052594
40 244 0.176065 0.175297
40 261 0.015853 0.014841
40 259 0.263129 0.264446
40 357 0.196334 0.195258
40 133 0.209042 0.208896
40 269 0.092385 0.091065
40 53 0.183547 0.184236
40 368 0.079963 0.079047
40 249 0.148267 0.146177
40 369 0.215411 0.217735
40 370 0.159323 0.160747
40 209 0.276027 0.273662
40 193 0.079074 0.076661
40 49 0.087286 0.084088
40 371 0.056819 0.057638
40 134 0.188074 0.187226
40 245 0.029625 0.029416
40 331 0.229406 0.227619
40 102 0.051895 0.050210
40 50 0.167853 0.167591
40 372 0.005798 0.005347
40 61 0.252407 0.252847
40 47 0.115576 0.114656
40 45 0.013121 0.012480
40 373 0.158417 0.157248
40 105 0.172412 0.172043
40 93 0.055088 0.054687
40 374 0.229390 0.229555
40 237 0.018585 0.019323
40 375 0.011643 0.010433
40 376 0.275932 0.277284
40 333 0.035883 0.035956
40 246 0.208247 0.204527
40 377 0.121803 0.120059
40 378 0.078534 0.077820
40 354 0.126600 0.124831
40 46 0.166137 0.166060
40 190 0.031928 0.030008
40 234 0.053817 0.053485
41 2 0.091901 0.090942
41 22 0.418772 0.419702
41 38 0.763543 0.759198
41 39 0.817372 0.816819
41 302 0.183255 0.182712
41 379 0.462389 0.462953
41 380 0.615448 0.615706
41 104 0.739988 0.740102
41 381 0.595010 0.595668
41 371 0.161501 0.161837
41 270 0.268218 0.267810
41 382 0.800379 0.797529
41 383 0.698157 0.696685
41 384 0.646255 0.648201
41 385 0.314780 0.315329
41 386 0.756308 0.753318
41 355 0.032231 0.031705
41 387 0.524659 0.522246
41 388 0.723450 0.721707
41 49 0.236598 0.236102
41 389 0.018481 0.018354
41 390 0.276801 0.279478
41 313 0.019201 0.017520
41 391 0.284365 0.282814
41 103 0.594008 0.595730
41 244 0.492020 0.492199
41 332 0.359634 0.356273
41 392 0.005090 0.004172
41 331 0.639379 0.639109
41 43 0.089364 0.090947
41 393 0.116709 0.116713
41 377 0.334967 0.337102
41 394 0.086686 0.084273
41 395 0.322579 0.325394
41 396 0.249879 0.249388
41 336 0.757780 0.756128
41 354 0.350347 0.350502
41 397 0.500243 0.499651
41 353 0.119278 0.118504
41 44 0.497659 0.495665
41 133 0.586851 0.586540
41 334 0.599881 0.597363
41 156 0.205901 0.205235
41 398 0.331553 0.329510
41 399 0.752643 0.751609
41 337 0.531519 0.530559
41 400 0.702448 0.703271
41 83 0.030743 0.029198
41 401 0.243959 0.242830
41 402 0.726660 0.726330
41 403 0.336518 0.334563
42 2 0.003069 0.002726
42 19 0.012105 0.011951
42 22 0.012427 0.012579
42 38 0.022684 0.022755
42 268 0.010782 0.010152
42 45 0.002102 0.001050
42 404 0.013698 0.013871
42 281 0.018835 0.018502
42 229 0.000949 0.000900
42 239 0.001899 0.001851
43 2 0.086714 0.084502
43 22 0.389241 0.389979
43 41 0.419444 0.417867
43 340 0.646330 0.643486
43 405 0.439914 0.443198
43 406 0.232659 0.233507
43 407 0.023826 0.023260
43 331 0.593342 0.593848
43 408 0.191550 0.189924
43 409 0.700594 0.699282
43 385 0.294037 0.292998
43 410 0.514849 0.516266
43 411 0.508541 0.506140
43 134 0.492567 0.488466
43 51 0.365146 0.365145
43 382 0.740864 0.741048
43 412 0.662103 0.664359
43 413 0.323266 0.320927
44 2 0.006801 0.006001
44 10 0.043979 0.042002
44 12 0.005878 0.005231
44 22 0.027063 0.027697
44 30 0.043588 0.042668
44 38 0.051545 0.050101
44 41 0.030064 0.029677
44 414 0.008864 0.008920
44 398 0.021559 0.021745
44 72 0.037272 0.036840
44 332 0.024092 0.023511
44 415 0.025562 0.026646
44 354 0.024749 0.023130
44 416 0.048450 0.049147
44 417 0.009146 0.008313
44 250 0.042743 0.041346
44 418 0.011991 0.011501
44 226 0.028610 0.028685
44 419 0.031487 0.030226
44 420 0.013242 0.012491
44 49 0.016463 0.015581
44 421 0.049857 0.050861
44 53 0.034207 0.034137
44 190 0.006019 0.005560
44 422 0.011100 0.010731
44 361 0.013242 0.012390
44 423 0.031596 0.029082
